scientific_slot_id,source_scientific_slot_id,study_group,scenario,regime,strategy,reported_agents,effort,cohort,item,repeat,derivation,metrics,historical_logical_id
slot_6ff72018376238be2c332b2fed719d7ce606ff8717a87f8a8b885c38e35757b4,slot_6ff72018376238be2c332b2fed719d7ce606ff8717a87f8a8b885c38e35757b4,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed2/q11,0,historical_frozen_417,"{""F1"": 0.0}",230a9806b9c95e375191e7787ccc4724665c0076b3aaf35024408ab6c2c10fdf
slot_6c6b5284f8de733fd3ba4ba730b38c9d8e7c2e1112aa350186fa9aa21bbc02ec,slot_6c6b5284f8de733fd3ba4ba730b38c9d8e7c2e1112aa350186fa9aa21bbc02ec,thinking_historical_reference,restricted_search,cost_free,single,1,max,historical,phantom_seed3/q20,0,historical_frozen_417,"{""F1"": 1.0}",a1037ed52baf47a80d32bea0a1fe9fb945e2bbb97301483d161af54ad04ac85d
slot_1f77c0fc8a1acd6fa426828e7e03c18fe9ba8ac314a9c8b41200cb0a7ba75162,slot_1f77c0fc8a1acd6fa426828e7e03c18fe9ba8ac314a9c8b41200cb0a7ba75162,thinking_historical_reference,tuning,cost_tight,single,1,max,historical,hpobench:nasbench201:cifar10-valid,0,historical_frozen_417,"{""Gap"": 99.32998283650223, ""Gap0"": 99.32998283650223, ""RawPerf"": 0.915533333235677}",8bbbfb3730222286969be4cb833a3895a59ea67cd3feeaac22b885fe69639b45
slot_b1cde389612cc70ae5c6eadeeaebf0792b6eea97f87ea1f66f647105bcc18d90,slot_b1cde389612cc70ae5c6eadeeaebf0792b6eea97f87ea1f66f647105bcc18d90,thinking_historical_reference,restricted_search,cost_tight,single,1,max,historical,phantom_seed2/q28,0,historical_frozen_417,"{""F1"": 0.0}",a61d38c5a7f2ffea0c5f0a8a4c01e98a995a83ff57b8ccb988741b5235f12f06
slot_ad5c922f14a27406c2a85793a1f33d291a51cd5522ba836875501263da92fbf2,slot_ad5c922f14a27406c2a85793a1f33d291a51cd5522ba836875501263da92fbf2,thinking_historical_reference,restricted_search,cost_moderate,single,1,max,historical,phantom_seed3/q1,0,historical_frozen_417,"{""F1"": 1.0}",bccd61d6a0ff64162ee02d3e961b812a4d3679a890b4ef4231e14b0ffb3b0564
slot_e7338bd92d5e8ac68b2c76f21b1e29c98f0342be7c3447cb088d1f976b282a6a,slot_e7338bd92d5e8ac68b2c76f21b1e29c98f0342be7c3447cb088d1f976b282a6a,thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,contract-nli/index9,0,historical_frozen_417,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",94c79a5d847b00de7b0081f5d160644d5fde59500004308ef9132969b567a039
slot_5d74b3b45f985648c83032e16d8dbf164e7317fcf5dd5afaa8c86ae74ef7cd48,slot_5d74b3b45f985648c83032e16d8dbf164e7317fcf5dd5afaa8c86ae74ef7cd48,thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,contract-nli/index9,1,historical_frozen_417,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",f3ba14b94f98e5124cd65322a097fc3b8c4fb8f33ee613392b24201cccc2cf2c
slot_95e6d20164cff3207dda08772ec2aa49ae5f4642ad8b842ef53cf06e97852b69,slot_95e6d20164cff3207dda08772ec2aa49ae5f4642ad8b842ef53cf06e97852b69,thinking_historical_reference,evidence_audit,cost_free,single,1,max,historical,contract-nli/index9,2,historical_frozen_417,"{""EA"": 1.0, ""LA"": 0.9411764705882353}",a24ceba87f3bc30706024010c324796f8c7af37907d00d07d2d952099ddfb620
slot_01e45db7bf056f97b8f28b02f399f7ac1fc8fc72b73f54734724896189053d07,slot_01e45db7bf056f97b8f28b02f399f7ac1fc8fc72b73f54734724896189053d07,thinking_historical_reference,tuning,cost_free,single,1,max,historical,hpobench:nasbench101:C,0,historical_frozen_417,"{""Gap"": 99.23207145405112, ""Gap0"": 99.23207145405112, ""RawPerf"": 0.9412393371264139}",c005bd507e471fcc547e935106a64a468c5ca6bf39ad2fefd57355903e35e262
slot_d6e69ebc1cd006bbbf2fb24a7457ad204d99e87a5d57158904e6b885cd65528e,slot_d6e69ebc1cd006bbbf2fb24a7457ad204d99e87a5d57158904e6b885cd65528e,thinking_historical_reference,restricted_search,cost_free,single,1,max,historical,phantom_seed2/q11,0,historical_frozen_417,"{""F1"": 1.0}",bcb4f7d2a4cc3d83ffe54bda5aaab768836dc0f20a5042c79110f0acaea9f44c
