slot_id,model,system,scenario,regime,strategy,item,outer_repeat,order,seed,source_sha256,old_metrics_json,new_metrics_json,score_changed,aggregate_answer_changed,aggregate_parsed_content_changed,endpoint_score_changed,change_reason,score_layer
00f8e194c1badaa56bf899c5,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,cc-large:8,0,,2200,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,"{""evidence_acc_mi"":0.27941176470588236,""evidence_acc_mv"":0.35294117647058826,""label_acc_mi"":0.75,""label_acc_mv"":1.0}","{""evidence_acc_mi"":0.35294117647058826,""evidence_acc_mv"":0.4117647058823529,""label_acc_mi"":0.9852941176470589,""label_acc_mv"":1.0}",True,True,True,True,terminal_answer_boundary_repaired,existing_trace_rescored
e37b14520a110ee4f13a4b75,gemini-3.8-flash-medium,poolact,evidence_audit,cost_moderate,cached,cc-large:10,0,,2200,a79013e8d989fde386ed05ff37c42ae891b3c318e5d703ad7a13e63bf559b060,"{""evidence_acc_mi"":0.5147058823529411,""evidence_acc_mv"":0.4117647058823529,""label_acc_mi"":0.8823529411764706,""label_acc_mv"":0.8823529411764706}","{""evidence_acc_mi"":0.5147058823529411,""evidence_acc_mv"":0.5294117647058824,""label_acc_mi"":0.8823529411764706,""label_acc_mv"":0.8823529411764706}",True,True,True,True,audit_vote_payload_acceptance_unified,existing_trace_rescored
2a3d4cdfadef52fe9f3bfc17,gemini-3.8-flash-medium,poolact,evidence_audit,cost_moderate,cached,cc-large:7,0,,2200,5a6b89c74a54f173c8c10afa517f7ec67801b09f7b59fd0d95d03d0265206ae3,"{""evidence_acc_mi"":0.8970588235294117,""evidence_acc_mv"":0.8823529411764706,""label_acc_mi"":0.9264705882352942,""label_acc_mv"":0.9411764705882353}","{""evidence_acc_mi"":0.8970588235294117,""evidence_acc_mv"":0.9411764705882353,""label_acc_mi"":0.9264705882352942,""label_acc_mv"":0.9411764705882353}",True,True,True,True,audit_vote_payload_acceptance_unified,existing_trace_rescored
c0d6e72d4eb8e6d0cbcf6369,gemini-3.8-flash-medium,poolact,evidence_audit,cost_moderate,naive,cc-large:0,0,,2200,349e2498b556173e785bb5aafe50d5d5641e1ed1dfd516e835b5633f8a91d969,"{""evidence_acc_mi"":0.6176470588235294,""evidence_acc_mv"":0.6470588235294118,""label_acc_mi"":0.9264705882352942,""label_acc_mv"":0.9411764705882353}","{""evidence_acc_mi"":0.6176470588235294,""evidence_acc_mv"":0.7058823529411765,""label_acc_mi"":0.9264705882352942,""label_acc_mv"":0.9411764705882353}",True,True,True,True,audit_vote_payload_acceptance_unified,existing_trace_rescored
1abacb6f1add6c58a89fbbf8,gemini-3.8-flash-medium,poolact,evidence_audit,cost_moderate,naive,cc-large:3,0,,2200,08b4c61a39f71e09d54eb616c370983af390ea72b2ca84dfc3dad81a1ec91e01,"{""evidence_acc_mi"":0.9411764705882353,""evidence_acc_mv"":1.0,""label_acc_mi"":0.8823529411764706,""label_acc_mv"":0.9411764705882353}","{""evidence_acc_mi"":0.9411764705882353,""evidence_acc_mv"":0.9411764705882353,""label_acc_mi"":0.8823529411764706,""label_acc_mv"":0.8823529411764706}",True,True,True,True,audit_vote_payload_acceptance_unified,existing_trace_rescored
b878dee609ea0e49d99f2e81,gemini-3.8-flash-medium,poolact,evidence_audit,cost_moderate,naive,cc-large:6,0,,2200,bfaac3e00b7fb91e12490365abc15efa1689c7349a80029002fa653226b95c1a,"{""evidence_acc_mi"":0.8676470588235294,""evidence_acc_mv"":0.8823529411764706,""label_acc_mi"":0.9264705882352942,""label_acc_mv"":0.9411764705882353}","{""evidence_acc_mi"":0.8676470588235294,""evidence_acc_mv"":0.9411764705882353,""label_acc_mi"":0.9264705882352942,""label_acc_mv"":0.9411764705882353}",True,True,True,True,audit_vote_payload_acceptance_unified,existing_trace_rescored
6f824e6ee7bf2fbec4d7949b,glm-5.3,expgym,evidence_audit,cost_free,single,cc-large:1,0,2,2202,0d65d872fb1901dd3936db01b86fdd9bad234058b230da4e4dc1a5e6c7ec0c50,"{""evidence_acc"":0.0,""label_acc"":0.0}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353}",True,False,False,True,closing_markdown_label_removed,existing_trace_rescored
f4549895cd356c1481152824,glm-5.3,expgym,evidence_audit,cost_free,single,cc-large:4,0,0,2200,5cef925d148c262d2c9efcabaa06317597dc7adbe7d5a27c275e40e4bc0ecc5b,"{""evidence_acc"":0.0,""label_acc"":0.0}","{""evidence_acc"":1.0,""label_acc"":1.0}",True,False,False,True,explicit_terminal_label_selected_from_full_response,existing_trace_rescored
e9955ac644bfa6f163521268,glm-5.3,expgym,evidence_audit,cost_free,single,cc-large:4,0,1,2201,81f08010106644c6f2f67f4c2af06a58278724c231c1706485b42791a3c68a2d,"{""evidence_acc"":0.0,""label_acc"":0.0}","{""evidence_acc"":1.0,""label_acc"":1.0}",True,False,False,True,explicit_terminal_label_selected_from_full_response,existing_trace_rescored
1a2023362ebc6cd31355b6c7,glm-5.3,expgym,evidence_audit,cost_free,single,cc-large:6,0,1,2201,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,"{""evidence_acc"":0.0,""label_acc"":0.0}","{""evidence_acc"":1.0,""label_acc"":1.0}",True,False,False,True,explicit_terminal_label_selected_from_full_response,existing_trace_rescored
