slot_id,model,task,regime,seed,outer_repeat,selection,source_path,sha256,bytes,source_commit,source_tree_sha256,source_dirty
89c9112cc92151495e485abb,deepseek-v4-flash-0731,hpobench:nasbench101:A,cost_free,2200,0,retained_frozen,frozen_delivery/trajectories/deepseek-v4-flash-0731/expgym/89c9112cc92151495e485abb.json,d2ff72dbb62df9bd601f8981f602727b1da5376d6a848e6a0dcfe718a88d328d,222674,5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8,b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,False
3e3dc1bbb05a0b2fb57e1299,deepseek-v4-flash-0731,hpobench:nasbench101:A,cost_free,2204,1,retained_frozen,frozen_delivery/trajectories/deepseek-v4-flash-0731/expgym/3e3dc1bbb05a0b2fb57e1299.json,f3a7984f5532e53e46c6ab8d840276353d1ad93bc9a857120cb3f8e6ac77c50b,18439,5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8,b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,False
bd8dc3368f85d96aa8038571,deepseek-v4-flash-0731,hpobench:nasbench101:A,cost_free,2208,2,retained_frozen,frozen_delivery/trajectories/deepseek-v4-flash-0731/expgym/bd8dc3368f85d96aa8038571.json,cba57b66f5b1722848c458f201fa38fda60b858e8c918fcae9d96ce49aed6409,177373,5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8,b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,False
7bebb7ba98193f9b1673a1b8,deepseek-v4-flash-0731,hpobench:nasbench101:B,cost_free,2200,0,retained_frozen,frozen_delivery/trajectories/deepseek-v4-flash-0731/expgym/7bebb7ba98193f9b1673a1b8.json,465ef6fe34cf1031f1bdceb46efcb413e3b6853b84e86a54a13f66d79726e3a3,187656,5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8,b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,False
e3b613d7797be0ca8cc5f37a,deepseek-v4-flash-0731,hpobench:nasbench101:B,cost_free,2204,1,retained_frozen,frozen_delivery/trajectories/deepseek-v4-flash-0731/expgym/e3b613d7797be0ca8cc5f37a.json,b4c8e3fbb5481a2c8c6fbd6dd5b5080e81fc87b65b3902adab36ddd0ca7f6f4f,194060,5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8,b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,False
02bc14a3ea9c1930b6f012d4,deepseek-v4-flash-0731,hpobench:nasbench101:B,cost_free,2208,2,retained_frozen,frozen_delivery/trajectories/deepseek-v4-flash-0731/expgym/02bc14a3ea9c1930b6f012d4.json,ff09770251523dc5b512882a7bdbf443a28e11b6fb665a3ddd562dd5b1ef3634,366358,5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8,b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,False
4d123c2f2285b5bc16f147c3,deepseek-v4-flash-0731,hpobench:nasbench101:C,cost_free,2200,0,retained_frozen,frozen_delivery/trajectories/deepseek-v4-flash-0731/expgym/4d123c2f2285b5bc16f147c3.json,ba8a5e40a4040b6aa1114ed889b9eb0aaf271a30881243672feef1fa9838159f,204202,5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8,b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,False
d9b88d5ed17473eb7a1a27ca,deepseek-v4-flash-0731,hpobench:nasbench101:C,cost_free,2204,1,retained_frozen,frozen_delivery/trajectories/deepseek-v4-flash-0731/expgym/d9b88d5ed17473eb7a1a27ca.json,6a71992cc37603d52145befa83158ed3caac868e24b6a8deeca3dd0a7f0a8e60,54228,5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8,b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,False
0989a01e765f7b750113e2cf,deepseek-v4-flash-0731,hpobench:nasbench101:C,cost_free,2208,2,retained_frozen,frozen_delivery/trajectories/deepseek-v4-flash-0731/expgym/0989a01e765f7b750113e2cf.json,d053139e179a0651fad64830d4f44ecd2f251c604a92074554023cf7464fc456,114299,5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8,b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,False
520fdbebbf06e42089863ca3,deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,cost_free,2200,0,retained_frozen,frozen_delivery/trajectories/deepseek-v4-flash-0731/expgym/520fdbebbf06e42089863ca3.json,074128ea2dbc58a73acfbff039487a7fa03c747016f95494855ec7515adfa842,84994,5aabf7f6b568a1281fb677a94c19cfb2e8ce98b8,b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,False
