execution_id,effective_slot,artifact,request_id,client_id,generation_id,attempt,state,http_status,input_tokens,output_tokens,reasoning_tokens_included_in_output,total_tokens,request_wall_seconds,finish_reasons,effective_request_parameters
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,True,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/api_dump/11d8e57bb4e14757beec56224ad6652a.json,11d8e57bb4e14757beec56224ad6652a,b08037ee9b2946958346197b52213f7c,cdc95645a7b84f77b91a6ac6e6f2f16d,1,success,,16092,82,12,16174,1.1777249090373516,"[""tool_calls""]","{""cache_salt"":""queue-3514e1466ef81cd-audit-52d235553c1c90713e9e9ecc98929d5d9feb"",""chat_template_kwargs"":{""thinking"":true},""max_tokens"":32768,""model"":""deepseek-v4-flash-0731"",""reasoning_effort"":""max"",""seed"":2200,""temperature"":1.0,""tool_choice"":""auto"",""top_p"":0.95}"
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,True,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/api_dump/16ff1aaa92334691b1980094e90edcb4.json,16ff1aaa92334691b1980094e90edcb4,b08037ee9b2946958346197b52213f7c,f0a673fd1c7e4813b6a3e60535c6dd8b,1,success,,13480,251,169,13731,3.0944058932363987,"[""tool_calls""]","{""cache_salt"":""queue-3514e1466ef81cd-audit-52d235553c1c90713e9e9ecc98929d5d9feb"",""chat_template_kwargs"":{""thinking"":true},""max_tokens"":32768,""model"":""deepseek-v4-flash-0731"",""reasoning_effort"":""max"",""seed"":2200,""temperature"":1.0,""tool_choice"":""auto"",""top_p"":0.95}"
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,True,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/api_dump/2b80149db71f40b88938957cfbbdfac6.json,2b80149db71f40b88938957cfbbdfac6,b08037ee9b2946958346197b52213f7c,51c6db2dfd684772be5c888657def487,1,success,,13240,108,41,13348,1.7274917922914028,"[""tool_calls""]","{""cache_salt"":""queue-3514e1466ef81cd-audit-52d235553c1c90713e9e9ecc98929d5d9feb"",""chat_template_kwargs"":{""thinking"":true},""max_tokens"":32768,""model"":""deepseek-v4-flash-0731"",""reasoning_effort"":""max"",""seed"":2200,""temperature"":1.0,""tool_choice"":""auto"",""top_p"":0.95}"
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,True,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/api_dump/33b484e57f2247748f30aec30208114c.json,33b484e57f2247748f30aec30208114c,b08037ee9b2946958346197b52213f7c,8a85bcd403054d85992f3a570ee21f52,1,success,,15124,284,214,15408,4.383509781211615,"[""tool_calls""]","{""cache_salt"":""queue-3514e1466ef81cd-audit-52d235553c1c90713e9e9ecc98929d5d9feb"",""chat_template_kwargs"":{""thinking"":true},""max_tokens"":32768,""model"":""deepseek-v4-flash-0731"",""reasoning_effort"":""max"",""seed"":2200,""temperature"":1.0,""tool_choice"":""auto"",""top_p"":0.95}"
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,True,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/api_dump/42e2bb52ff794c288142f828371b4952.json,42e2bb52ff794c288142f828371b4952,b08037ee9b2946958346197b52213f7c,46b4316f54964c3da87a238029662b60,1,success,,8811,185,120,8996,2.5786991380155087,"[""tool_calls""]","{""cache_salt"":""queue-3514e1466ef81cd-audit-52d235553c1c90713e9e9ecc98929d5d9feb"",""chat_template_kwargs"":{""thinking"":true},""max_tokens"":32768,""model"":""deepseek-v4-flash-0731"",""reasoning_effort"":""max"",""seed"":2200,""temperature"":1.0,""tool_choice"":""auto"",""top_p"":0.95}"
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,True,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/api_dump/5a541f48ef684599844ec772edd451d7.json,5a541f48ef684599844ec772edd451d7,b08037ee9b2946958346197b52213f7c,a24312b3e51944679821648c393c5d09,1,success,,8283,152,87,8435,1.825214445590973,"[""tool_calls""]","{""cache_salt"":""queue-3514e1466ef81cd-audit-52d235553c1c90713e9e9ecc98929d5d9feb"",""chat_template_kwargs"":{""thinking"":true},""max_tokens"":32768,""model"":""deepseek-v4-flash-0731"",""reasoning_effort"":""max"",""seed"":2200,""temperature"":1.0,""tool_choice"":""auto"",""top_p"":0.95}"
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,True,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/api_dump/5b09b6ef94d74cfca8440495441ace4a.json,5b09b6ef94d74cfca8440495441ace4a,b08037ee9b2946958346197b52213f7c,ec0054b02f404bafa06f9600600009a1,1,success,,8025,243,178,8268,3.2353695780038834,"[""tool_calls""]","{""cache_salt"":""queue-3514e1466ef81cd-audit-52d235553c1c90713e9e9ecc98929d5d9feb"",""chat_template_kwargs"":{""thinking"":true},""max_tokens"":32768,""model"":""deepseek-v4-flash-0731"",""reasoning_effort"":""max"",""seed"":2200,""temperature"":1.0,""tool_choice"":""auto"",""top_p"":0.95}"
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,True,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/api_dump/5c1c74a9ea2e44bcb82667d361b07097.json,5c1c74a9ea2e44bcb82667d361b07097,b08037ee9b2946958346197b52213f7c,029b104adc624e9197e83a75c4180ffd,1,success,,14798,94,27,14892,1.1829935684800148,"[""tool_calls""]","{""cache_salt"":""queue-3514e1466ef81cd-audit-52d235553c1c90713e9e9ecc98929d5d9feb"",""chat_template_kwargs"":{""thinking"":true},""max_tokens"":32768,""model"":""deepseek-v4-flash-0731"",""reasoning_effort"":""max"",""seed"":2200,""temperature"":1.0,""tool_choice"":""auto"",""top_p"":0.95}"
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,True,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/api_dump/8ac4ca7e00824aac8b10a7cc401cbac6.json,8ac4ca7e00824aac8b10a7cc401cbac6,b08037ee9b2946958346197b52213f7c,2c36bdc9d0f84eaf8c08812f69c26c86,1,success,,16729,2152,1766,18881,23.416892267763615,"[""stop""]","{""cache_salt"":""queue-3514e1466ef81cd-audit-52d235553c1c90713e9e9ecc98929d5d9feb"",""chat_template_kwargs"":{""thinking"":true},""max_tokens"":32768,""model"":""deepseek-v4-flash-0731"",""reasoning_effort"":""max"",""seed"":2200,""temperature"":1.0,""tool_choice"":""none"",""top_p"":0.95}"
job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e,True,/lustrefs/users/chufan.shi/codex_space_tn/deepseek_flash_eval_20260911/formal/invocations/job_3514e1466ef81cd9ca5582378695976e431e351365590ca0ef70649543fcb98e/api_dump/8de81570e4b34b8db4d95cd073ab1b0c.json,8de81570e4b34b8db4d95cd073ab1b0c,b08037ee9b2946958346197b52213f7c,568fa8e30d7a4d408fa67e8d2f425f8e,1,success,,9011,101,34,9112,1.6162441223859787,"[""tool_calls""]","{""cache_salt"":""queue-3514e1466ef81cd-audit-52d235553c1c90713e9e9ecc98929d5d9feb"",""chat_template_kwargs"":{""thinking"":true},""max_tokens"":32768,""model"":""deepseek-v4-flash-0731"",""reasoning_effort"":""max"",""seed"":2200,""temperature"":1.0,""tool_choice"":""auto"",""top_p"":0.95}"
