comparison,dimension,metric,n_models,included_models,excluded_models,free_leaders,free_best,tight_leaders,tight_best,free_leaders_tight_scores,leader_set_changed,no_common_leader,regret_min,regret_max
same_complete_endpoint_models,Search whois,f1,6,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,gemini-3.8-flash-medium,73.86339151045034,glm-5.3,23.057530704589528,20.4323780794369,True,True,2.6251526251526265,2.6251526251526265
fixed_five_models,Search whois,f1,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,glm-5.3,68.26510091215974,glm-5.3,23.057530704589528,23.057530704589528,False,False,0.0,0.0
same_complete_endpoint_models,Search whatis,f1,6,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,gemini-3.8-flash-medium,69.92695117262592,deepseek-v4-flash-0731,15.926916221033869,14.84848484848485,True,True,1.0784313725490193,1.0784313725490193
fixed_five_models,Search whatis,f1,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,gpt-5.6-sol,65.42057999670456,deepseek-v4-flash-0731,15.926916221033869,13.868092691622103,True,True,2.0588235294117663,2.0588235294117663
same_complete_endpoint_models,Audit evidence accuracy,evidence_acc,6,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,gemini-3.8-flash-medium,97.5867269984917,gemini-3.8-flash-medium,72.09653092006033,72.09653092006033,False,False,0.0,0.0
fixed_five_models,Audit evidence accuracy,evidence_acc,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,qwen3.8-2.4t-a95b-fp8,91.8552036199095,qwen3.8-2.4t-a95b-fp8,58.37104072398189,58.37104072398189,False,False,0.0,0.0
same_complete_endpoint_models,Audit label accuracy,label_acc,6,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,gemini-3.8-flash-medium,97.28506787330316,gemini-3.8-flash-medium,88.23529411764706,88.23529411764706,False,False,0.0,0.0
fixed_five_models,Audit label accuracy,label_acc,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,qwen3.8-2.4t-a95b-fp8,94.7209653092006,qwen3.8-2.4t-a95b-fp8,83.10708898944193,83.10708898944193,False,False,0.0,0.0
same_complete_endpoint_models,ParamNet,gap0,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,gpt-5.6-sol,97.31233017688683,gpt-5.6-sol,85.69408389858862,85.69408389858862,False,False,0.0,0.0
fixed_five_models,ParamNet,gap0,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,gpt-5.6-sol,97.31233017688683,gpt-5.6-sol,85.69408389858862,85.69408389858862,False,False,0.0,0.0
same_complete_endpoint_models,NAS101,gap0,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,glm-5.3,99.05747572457256,gpt-5.6-sol,97.03084328092477,90.76144263870238,True,True,6.269400642222394,6.269400642222394
fixed_five_models,NAS101,gap0,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,glm-5.3,99.05747572457256,gpt-5.6-sol,97.03084328092477,90.76144263870238,True,True,6.269400642222394,6.269400642222394
same_complete_endpoint_models,NAS201,gap0,6,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol;gemini-3.8-flash-medium,,kimi-k3,99.77083456336484,gemini-3.8-flash-medium,94.8695267484929,94.66056902635921,True,True,0.20895772213368957,0.20895772213368957
fixed_five_models,NAS201,gap0,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,gemini-3.8-flash-medium,kimi-k3,99.77083456336484,kimi-k3,94.66056902635921,94.66056902635921,False,False,0.0,0.0
