slot_id,model,system,scenario,regime,strategy,item,seed,agent_id,result_sha256,new_job_id,answer_sha256,answer_present,legacy_metrics_json,existing_trace_rescored_metrics_json,new_runtime_metrics_json,parser_sha256,source_layer,terminal_raw_sha256
17f16ab49e40134d09e4f126,qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_moderate,poolact,phantom_seed2:12,2200,0,3d8b9d7d69000799c5ee196852de584aa5a4ed4aa315c713cbab94cb7ef702b2,job_f7164246e7c863829aa269176d8f00f9a237d4316fd21a5d8e3c09692da1ccc0,1b557283d32f597930b7f707dde9580e45ff4d179614053658e667348eb0f1a5,True,"{""f1"":1.0}","{""f1"":1.0}","{""f1"":1.0}",6b09495845fa6c1dc324a82ba471bcfba59265aaa4912ff0acf8307239e84bed,new_runtime_control,dd67e907392460e1075476bea033a11cc652b1bb8e8cc8780abee5d67de26f06
17f16ab49e40134d09e4f126,qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_moderate,poolact,phantom_seed2:12,2200,1,3d8b9d7d69000799c5ee196852de584aa5a4ed4aa315c713cbab94cb7ef702b2,job_f7164246e7c863829aa269176d8f00f9a237d4316fd21a5d8e3c09692da1ccc0,1b557283d32f597930b7f707dde9580e45ff4d179614053658e667348eb0f1a5,True,"{""f1"":1.0}","{""f1"":1.0}","{""f1"":1.0}",6b09495845fa6c1dc324a82ba471bcfba59265aaa4912ff0acf8307239e84bed,new_runtime_control,4a6df1cfaa7ca6417dd5d3ef1bbc3143ab1ccdf1a795f0928c6a509e01bfabec
17f16ab49e40134d09e4f126,qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_moderate,poolact,phantom_seed2:12,2200,2,3d8b9d7d69000799c5ee196852de584aa5a4ed4aa315c713cbab94cb7ef702b2,job_f7164246e7c863829aa269176d8f00f9a237d4316fd21a5d8e3c09692da1ccc0,1b557283d32f597930b7f707dde9580e45ff4d179614053658e667348eb0f1a5,True,"{""f1"":1.0}","{""f1"":1.0}","{""f1"":1.0}",6b09495845fa6c1dc324a82ba471bcfba59265aaa4912ff0acf8307239e84bed,new_runtime_control,43e147d6b61cd6b66d48c2d2c6e35cf79d63f6b3f20851105a8864ff9ac28d10
17f16ab49e40134d09e4f126,qwen3.8-2.4t-a95b-fp8,poolact,restricted_search,cost_moderate,poolact,phantom_seed2:12,2200,3,3d8b9d7d69000799c5ee196852de584aa5a4ed4aa315c713cbab94cb7ef702b2,job_f7164246e7c863829aa269176d8f00f9a237d4316fd21a5d8e3c09692da1ccc0,1b557283d32f597930b7f707dde9580e45ff4d179614053658e667348eb0f1a5,True,"{""f1"":1.0}","{""f1"":1.0}","{""f1"":1.0}",6b09495845fa6c1dc324a82ba471bcfba59265aaa4912ff0acf8307239e84bed,new_runtime_control,31f24543cd4ae3b76458207e9489274dd8d54c66cc4ed6121fbb9687ae7ba1f3
1af4cc84a9789c34054221ad,qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,naive,cc-large:1,2200,0,e87be6e8f73cc54a752642796cd7bf11016a2267e0fecea43545a915c635467c,job_3ef6fc29a3e3bf2550a9292e2f70a83d39b34a1ec01189f23b440e45b03f299d,b0174fb1e114c591957b1ec7a1dede8a1603b8fc6a8a28de61ccaf45c72586a5,True,"{""evidence_acc"":0.7058823529411765,""label_acc"":0.8823529411764706,""verification_eff"":0.5454545454545454}","{""evidence_acc"":0.7058823529411765,""label_acc"":0.8823529411764706,""verification_eff"":0.5454545454545454}","{""evidence_acc"":0.7647058823529411,""label_acc"":0.8823529411764706,""verification_eff"":0.5}",6b09495845fa6c1dc324a82ba471bcfba59265aaa4912ff0acf8307239e84bed,new_runtime_control,3e3646c99559ffa04495294207f729421fee8ca355f15fa3956ac4af62e4cd04
1af4cc84a9789c34054221ad,qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,naive,cc-large:1,2200,1,e87be6e8f73cc54a752642796cd7bf11016a2267e0fecea43545a915c635467c,job_3ef6fc29a3e3bf2550a9292e2f70a83d39b34a1ec01189f23b440e45b03f299d,ba18fffdf996f091533a8a1993bb20dc05e06ecaafa1776f4a37c4ecbb13a438,True,"{""evidence_acc"":0.6470588235294118,""label_acc"":0.8823529411764706,""verification_eff"":0.6363636363636364}","{""evidence_acc"":0.6470588235294118,""label_acc"":0.8823529411764706,""verification_eff"":0.6363636363636364}","{""evidence_acc"":0.7647058823529411,""label_acc"":0.8823529411764706,""verification_eff"":0.5}",6b09495845fa6c1dc324a82ba471bcfba59265aaa4912ff0acf8307239e84bed,new_runtime_control,92de4ccf424da2e76b649f2c0e765b70f6fca7a8d4c72eb450c1e3795e06d00d
1af4cc84a9789c34054221ad,qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,naive,cc-large:1,2200,2,e87be6e8f73cc54a752642796cd7bf11016a2267e0fecea43545a915c635467c,job_3ef6fc29a3e3bf2550a9292e2f70a83d39b34a1ec01189f23b440e45b03f299d,48fad2d453f56b9950a3447b8397b250ee3515394acc544399533fa7fe8d3048,True,"{""evidence_acc"":0.7647058823529411,""label_acc"":0.8823529411764706,""verification_eff"":0.5833333333333334}","{""evidence_acc"":0.7647058823529411,""label_acc"":0.8823529411764706,""verification_eff"":0.5833333333333334}","{""evidence_acc"":0.7058823529411765,""label_acc"":0.8823529411764706,""verification_eff"":0.6363636363636364}",6b09495845fa6c1dc324a82ba471bcfba59265aaa4912ff0acf8307239e84bed,new_runtime_control,82098107419ec04a533c186b4688ac1e475c77d94862ba515b5cc4385f82fe53
1af4cc84a9789c34054221ad,qwen3.8-2.4t-a95b-fp8,poolact,evidence_audit,cost_moderate,naive,cc-large:1,2200,3,e87be6e8f73cc54a752642796cd7bf11016a2267e0fecea43545a915c635467c,job_3ef6fc29a3e3bf2550a9292e2f70a83d39b34a1ec01189f23b440e45b03f299d,9cf75f10e9c366f9661dcc56db82538625ab96e755d48c1943028af7c36b9b10,True,"{""evidence_acc"":0.7058823529411765,""label_acc"":0.8823529411764706,""verification_eff"":0.5454545454545454}","{""evidence_acc"":0.7058823529411765,""label_acc"":0.8823529411764706,""verification_eff"":0.5454545454545454}","{""evidence_acc"":0.7058823529411765,""label_acc"":0.8823529411764706,""verification_eff"":0.2727272727272727}",6b09495845fa6c1dc324a82ba471bcfba59265aaa4912ff0acf8307239e84bed,new_runtime_control,65087767c93653f78fb2cd7e9a4fd4790014494a52423d2d79f978c952148de0
2a395d2e30d11c9e0cd0c6d0,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:9,2200,0,0fd755ea27e024c2c9d4a044322329d2bbc8f47b6c6ec6a7b6d7f1e4d6075e67,job_7cf90282d8ac74e979f34ffced4832f5f49dc8cc0ae56bfc31f68f25a0f05a7d,c96e0085f8b81ddf2b8559dd73aff688683d739e62a4e850ca36bec1d5d3a0b7,True,"{""evidence_acc"":1.0,""label_acc"":0.8823529411764706,""verification_eff"":0.26666666666666666}","{""evidence_acc"":1.0,""label_acc"":0.8823529411764706,""verification_eff"":0.26666666666666666}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.1875}",6b09495845fa6c1dc324a82ba471bcfba59265aaa4912ff0acf8307239e84bed,new_runtime_control,12673f3f29ec64a1c613de69531e9fb2d5a6be33c8f5b4546f1453c3eadd68af
2a395d2e30d11c9e0cd0c6d0,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:9,2200,1,0fd755ea27e024c2c9d4a044322329d2bbc8f47b6c6ec6a7b6d7f1e4d6075e67,job_7cf90282d8ac74e979f34ffced4832f5f49dc8cc0ae56bfc31f68f25a0f05a7d,07689a36b27b2fc2449e3d9ff7d400569dea446b49edcb77ab9473a6c854c5b1,True,"{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.3125}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.3125}","{""evidence_acc"":0.8235294117647058,""label_acc"":0.8235294117647058,""verification_eff"":0.4166666666666667}",6b09495845fa6c1dc324a82ba471bcfba59265aaa4912ff0acf8307239e84bed,new_runtime_control,9a1505bc10386f6de960c28acedd15230dc80ede265eb3e2d277ed266aac358c
