table,record,model,system,scenario,regime,strategy,slice_kind,slice,metric,field,historical,new,changed,delta,historical_identity,new_identity
absolute_settings.csv,124,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,all,all,evidence_acc_mi,full_mean,0.5893665158371041,0.5950226244343891,True,0.005656108597285048,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,124,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,all,all,evidence_acc_mi,known_subset_mean,0.5893665158371041,0.5950226244343891,True,0.005656108597285048,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,125,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,all,all,evidence_acc_mv,full_mean,0.6199095022624435,0.6244343891402715,True,0.004524886877828038,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,125,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,all,all,evidence_acc_mv,known_subset_mean,0.6199095022624435,0.6244343891402715,True,0.004524886877828038,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,126,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,all,all,label_acc_mi,full_mean,0.8461538461538461,0.8642533936651583,True,0.018099547511312153,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,126,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,all,all,label_acc_mi,known_subset_mean,0.8461538461538461,0.8642533936651583,True,0.018099547511312153,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,148,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,family,evidence_audit,evidence_acc_mi,full_mean,0.5893665158371041,0.5950226244343891,True,0.005656108597285048,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,148,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,family,evidence_audit,evidence_acc_mi,known_subset_mean,0.5893665158371041,0.5950226244343891,True,0.005656108597285048,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,149,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,family,evidence_audit,evidence_acc_mv,full_mean,0.6199095022624435,0.6244343891402715,True,0.004524886877828038,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,149,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,family,evidence_audit,evidence_acc_mv,known_subset_mean,0.6199095022624435,0.6244343891402715,True,0.004524886877828038,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,150,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,family,evidence_audit,label_acc_mi,full_mean,0.8461538461538461,0.8642533936651583,True,0.018099547511312153,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,150,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,family,evidence_audit,label_acc_mi,known_subset_mean,0.8461538461538461,0.8642533936651583,True,0.018099547511312153,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,436,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,task,cc-large:8,evidence_acc_mi,full_mean,0.27941176470588236,0.35294117647058826,True,0.0735294117647059,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,436,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,task,cc-large:8,evidence_acc_mi,known_subset_mean,0.27941176470588236,0.35294117647058826,True,0.0735294117647059,published-297c3d0-historical-scoring,existing-trace-rescore-v1
absolute_settings.csv,437,deepseek-v4-flash-0731,poolact,evidence_audit,cost_tight,cached,task,cc-large:8,evidence_acc_mv,full_mean,0.35294117647058826,0.4117647058823529,True,0.05882352941176466,published-297c3d0-historical-scoring,existing-trace-rescore-v1
