source_tree_sha256,repo,path,sha256,exists_current_main,equals_current_main
c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910,demo_experiment.py,18a395623b84b2333c50fe2fe8de1cf4fccab4b7ca6d2747325343d1a700ebf5,True,False
c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910,expgym/native_anthropic_client.py,d7899957b607bd5e0ca1b1ac5acf613c3ef1c0b5cd51b578768759ce20f33117,False,False
c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_api_studies_20260910,expgym/native_responses_client.py,45a592ada5863ef1f281c5b462616991fac7d683ec7971fe4760f398f3233265,False,False
88289be4903cbf1c993e1710bfe51f75aa5c4e2321069e99c652518e2f456d5b,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-gpt-material-rerun-20260912,demo_experiment.py,18a395623b84b2333c50fe2fe8de1cf4fccab4b7ca6d2747325343d1a700ebf5,True,False
88289be4903cbf1c993e1710bfe51f75aa5c4e2321069e99c652518e2f456d5b,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-gpt-material-rerun-20260912,expgym/native_anthropic_client.py,d7899957b607bd5e0ca1b1ac5acf613c3ef1c0b5cd51b578768759ce20f33117,False,False
88289be4903cbf1c993e1710bfe51f75aa5c4e2321069e99c652518e2f456d5b,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-gpt-material-rerun-20260912,expgym/native_responses_client.py,45a592ada5863ef1f281c5b462616991fac7d683ec7971fe4760f398f3233265,False,False
58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-qwen38-20260910,demo_experiment.py,e234e22f68b64b7702099a361e2ce3dcc2fed153c564d530c1137472ea33973d,True,False
b040dd01fa8faec8e7ef0dbab349463a16f739daa4df9c42969001173580abac,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-deepseek-flash-20260911,demo_experiment.py,e234e22f68b64b7702099a361e2ce3dcc2fed153c564d530c1137472ea33973d,True,False
8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_gemini_schema_20260911,demo_experiment.py,bb7dd0922ef0ef7b8c24d8ada345db1d5a2cb254e15992c902409e7a554dd650,True,False
8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_gemini_schema_20260911,expgym/native_anthropic_client.py,d7899957b607bd5e0ca1b1ac5acf613c3ef1c0b5cd51b578768759ce20f33117,False,False
8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_gemini_schema_20260911,expgym/native_gemini_client.py,7c50e480a294f2a1618d94006f9b5e53679e1959b16b1126880193d71f0172a7,False,False
8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_gemini_schema_20260911,expgym/native_responses_client.py,45a592ada5863ef1f281c5b462616991fac7d683ec7971fe4760f398f3233265,False,False
8a58986195c73f5508a2f5810e38921c86f8141671b1a6972c300aa06815723e,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym_gemini_schema_20260911,expgym/quota_gate.py,6c76ee4a6c8faf94e3ccb315ad87998f15dd26f66410e577d5ec7f0a8c4d43ed,False,False
e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-eval-fixes-20260912,demo_experiment.py,e234e22f68b64b7702099a361e2ce3dcc2fed153c564d530c1137472ea33973d,True,False
e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,/lustrefs/users/chufan.shi/codex_space_tn/LLM_ExpGym-eval-docs-20260912,demo_experiment.py,e234e22f68b64b7702099a361e2ce3dcc2fed153c564d530c1137472ea33973d,True,False
0671f352f8980b7360baae6f8e6c98b7336ef50823b0d27ab8e090e5d0a42fdc,/lustrefs/users/chufan.shi/codex_space_tn/portable_eval_20260908/source_cohorts/v5/LLM_ExpGym,demo_experiment.py,4693160e27eef952b523700869f4101a4ea6250eabc12d953fecdf6ba3dec5da,True,True
ec52a3371945f22ebd9d896a30b7ac8056dd502dd29998693713c5d08dba5ca6,/lustrefs/users/chufan.shi/codex_space_tn/gemini_openrouter_20260917/runtime,demo_experiment.py,cd362f987a62350ad4b562d60f167bd897d7a0bdb39fc9c09e8bed07ae65d0fd,True,False
