category,endpoint,endpoint_label,metric,unit,planned_model_count,fixed_candidate_count,fixed_candidates,excluded_candidates,rankable_at_least_two_fixed_candidates,strict_five_complete,free_winners,moderate_winners,tight_winners,free_to_tight_winner_set_changed,free_to_moderate_winner_set_changed,moderate_to_tight_winner_set_changed,change_definition
family,whois_f1,Search whois / F1,f1,fraction,5,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,,True,True,glm-5.3,glm-5.3,glm-5.3,False,False,False,winner_set_inequality; fixed_FMT_candidates; unknown_not_ranked
family,whatis_f1,Search whatis / F1,f1,fraction,5,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,,True,True,gpt-5.6-sol,gpt-5.6-sol,deepseek-v4-flash-0731,True,False,True,winner_set_inequality; fixed_FMT_candidates; unknown_not_ranked
family,audit_ea,Audit / EA,evidence_acc,fraction,5,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,,True,True,qwen3.8-2.4t-a95b-fp8,qwen3.8-2.4t-a95b-fp8,qwen3.8-2.4t-a95b-fp8,False,False,False,winner_set_inequality; fixed_FMT_candidates; unknown_not_ranked
family,paramnet_gap,ParamNet / Gap,gap,Gap points,5,4,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;gpt-5.6-sol,deepseek-v4-flash-0731,True,False,gpt-5.6-sol,gpt-5.6-sol,gpt-5.6-sol,False,False,False,winner_set_inequality; fixed_FMT_candidates; unknown_not_ranked
family,nas101_gap,NAS101 / Gap,gap,Gap points,5,4,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;gpt-5.6-sol,deepseek-v4-flash-0731,True,False,glm-5.3,gpt-5.6-sol,gpt-5.6-sol,True,True,False,winner_set_inequality; fixed_FMT_candidates; unknown_not_ranked
family,nas201_gap,NAS201 / Gap,gap,Gap points,5,4,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;gpt-5.6-sol,deepseek-v4-flash-0731,True,False,kimi-k3,kimi-k3,kimi-k3,False,False,False,winner_set_inequality; fixed_FMT_candidates; unknown_not_ranked
task,task_nasbench101_A,NAS101 A,gap,Gap points,5,4,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;gpt-5.6-sol,deepseek-v4-flash-0731,True,False,qwen3.8-2.4t-a95b-fp8,glm-5.3,gpt-5.6-sol,True,True,True,winner_set_inequality; fixed_FMT_candidates; unknown_not_ranked
task,task_nasbench101_B,NAS101 B,gap,Gap points,5,5,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;deepseek-v4-flash-0731;gpt-5.6-sol,,True,True,glm-5.3,glm-5.3,kimi-k3,True,False,True,winner_set_inequality; fixed_FMT_candidates; unknown_not_ranked
task,task_nasbench101_C,NAS101 C,gap,Gap points,5,4,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;gpt-5.6-sol,deepseek-v4-flash-0731,True,False,glm-5.3,gpt-5.6-sol,gpt-5.6-sol,True,True,False,winner_set_inequality; fixed_FMT_candidates; unknown_not_ranked
task,task_nasbench201_cifar10-valid,NAS201 cifar10-valid,gap,Gap points,5,4,kimi-k3;glm-5.3;qwen3.8-2.4t-a95b-fp8;gpt-5.6-sol,deepseek-v4-flash-0731,True,False,kimi-k3,gpt-5.6-sol,gpt-5.6-sol,True,True,False,winner_set_inequality; fixed_FMT_candidates; unknown_not_ranked
