slot_id,model,item,regime,strategy,outer_repeat,selection,protocol,source_tree,unique_visible_configs,unique_80prefixes,collision_groups,configs_in_collision,adjacent_different_configs_same_prefix,graph_messages,collision_messages,path_ambiguous_messages,selfloop_messages,trajectory,trajectory_sha256
19afe731b4fc884191218805,deepseek-v4-flash-0731,hpobench:nasbench101:A,cost_moderate,poolact,0,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,29,4,3,28,21,36,31,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/19afe731b4fc884191218805.json,7db7c0c4af205b0f25110d520497e969cb0239744c75554a9eaba0c5629b8b47
688a100026d86ead869c4673,deepseek-v4-flash-0731,hpobench:nasbench101:A,cost_moderate,poolact,1,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,30,7,4,27,15,40,34,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/688a100026d86ead869c4673.json,e160694365782e41afbde49823237bc0def6273266505146d88588316d6a6d51
a26c27915313d8ff6cde09b7,deepseek-v4-flash-0731,hpobench:nasbench101:A,cost_moderate,poolact,2,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,28,8,4,24,17,40,32,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/a26c27915313d8ff6cde09b7.json,372688c4380b59de1ea71030d7fa3829304d029758920282935e3235abb27712
f0339c9c08d0fcfa36727587,deepseek-v4-flash-0731,hpobench:nasbench101:B,cost_moderate,poolact,0,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,32,9,4,27,14,40,32,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/f0339c9c08d0fcfa36727587.json,2cc3fc227e622fdf3c708ca73adfacc8ec8e3541d1540a4a398472d886d8078f
9482fade7c4cdbe373c98aca,deepseek-v4-flash-0731,hpobench:nasbench101:B,cost_moderate,poolact,1,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,33,7,2,28,21,40,34,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/9482fade7c4cdbe373c98aca.json,0b9c284949690b4356da2a7f1d853283b3a743e49205e267b10ad997b7863971
c67d8a6ce902517eff4e658f,deepseek-v4-flash-0731,hpobench:nasbench101:B,cost_moderate,poolact,2,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,29,7,1,23,17,37,31,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/c67d8a6ce902517eff4e658f.json,a4705f9f92556e3419c2adfbe687588f66cd802c030cd56cb222a20805143e36
d8103685c2a1a5b9375cf8ee,deepseek-v4-flash-0731,hpobench:nasbench101:C,cost_moderate,poolact,0,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,48,22,7,33,18,60,52,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/d8103685c2a1a5b9375cf8ee.json,b25117f99471ad7333c10878c5a08cb6b2b3bc5d7c63eab4c7dd62e9fd8701f7
2d388e9155a9d3df6de1e8aa,deepseek-v4-flash-0731,hpobench:nasbench101:C,cost_moderate,poolact,1,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,39,12,6,33,19,50,41,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/2d388e9155a9d3df6de1e8aa.json,1d0cbb6c6547ad8999e166669c32f6f4166f245348cb794a86729623a460fa80
debec3bcedb3a22697dcd182,deepseek-v4-flash-0731,hpobench:nasbench101:C,cost_moderate,poolact,2,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,39,18,7,28,7,48,39,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/debec3bcedb3a22697dcd182.json,83e2e5c96507592bbb49bc365ec74ff019c75ce194382f9dfe999a834af3b817
d3d9c2f487d45ebc18883fa1,deepseek-v4-flash-0731,hpobench:nasbench101:A,cost_tight,poolact,0,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,3,3,0,0,0,10,0,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/d3d9c2f487d45ebc18883fa1.json,9257026201a3b3c21ca7266c8de2662a3aae512f5c430cc4c9a4e98a95018283
a8e33b78d93f10129eace8ac,deepseek-v4-flash-0731,hpobench:nasbench101:A,cost_tight,poolact,1,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,6,3,2,5,1,15,8,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/a8e33b78d93f10129eace8ac.json,b6f42b3635c606816ea81c471676838893a05980f9e8f156d04a71b41e47865a
d8d11f8ebac5a3d2431e79f4,deepseek-v4-flash-0731,hpobench:nasbench101:A,cost_tight,poolact,2,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,4,3,1,2,1,12,5,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/d8d11f8ebac5a3d2431e79f4.json,c99b00babb42a5fec2873a8a9a57fb76b1fe2c8a1a21aeab304c041d383aeb7c
163d4cd8b8cc8ad6edc7d6f2,deepseek-v4-flash-0731,hpobench:nasbench101:B,cost_tight,poolact,0,retained_frozen,paper-graph-lock-v4,e96575475b66e9e25b59115301dee10d04850a1f14f9d6b4d499f0651da47a78,11,4,2,9,2,18,11,0,0,/lustrefs/users/chufan.shi/codex_space_tn/deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/poolact/163d4cd8b8cc8ad6edc7d6f2.json,b5793c10ce889b41edcf7411a3f5db517ca7a7116b4409b6faf17b943da41175
