slot_id,model,system,scenario,regime,strategy,item,outer_repeat,order,seed,N,cohort_id,source_job_id,trajectory_file,trajectory_sha256,result_path,api_dump_root,affected_agent_ids,affected_members,selection_reason,has_subsequent_tool_actions,has_final_payload_difference,has_new_shared_completed_facts
e4a3de7414124ba25ae424c0,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:0,0,,2200,4,deepseek_rerun_20260912,job_f472dbd6e417758ae7d26aebff01a738156e354ddff701e8e19e0e5593f36312,trajectories/deepseek-v4-flash-0731/poolact/e4a3de7414124ba25ae424c0.json,1fc00fb45047fb23670783452e47644b9e51d65ccb1901d04dbf32b02ebd5afa,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_f472dbd6e417758ae7d26aebff01a738156e354ddff701e8e19e0e5593f36312/result/poolact/result.json,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_f472dbd6e417758ae7d26aebff01a738156e354ddff701e8e19e0e5593f36312/api_dump,"2,3",2,raw_API_verified_new_earlier_natural_stop,False,False,False
aa8511993d6ec60b40bac3d5,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:10,0,,2200,4,deepseek_rerun_20260912,job_e6d3e1743981fa274cdb709db3c48a2306c6f7a1190e856afc68d9c240c3f1a7,trajectories/deepseek-v4-flash-0731/poolact/aa8511993d6ec60b40bac3d5.json,ab84266c42291e56e95a058e097a1d03eef03e7194394fafc517dcc541f7f4de,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e6d3e1743981fa274cdb709db3c48a2306c6f7a1190e856afc68d9c240c3f1a7/result/poolact/result.json,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_e6d3e1743981fa274cdb709db3c48a2306c6f7a1190e856afc68d9c240c3f1a7/api_dump,"1,2",2,raw_API_verified_new_earlier_natural_stop,False,False,False
b61bf7439794536f53c71d69,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:11,0,,2200,4,deepseek_rerun_20260912,job_1b33fa730a47d0ada64fb9a0d49967e8cbc58b4de5ae4b3df390b99bcd771d55,trajectories/deepseek-v4-flash-0731/poolact/b61bf7439794536f53c71d69.json,70785951469b5fb66037b28a80c7e1f25adfe5210539306ed92db5042f7dfda9,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_1b33fa730a47d0ada64fb9a0d49967e8cbc58b4de5ae4b3df390b99bcd771d55/result/poolact/result.json,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_1b33fa730a47d0ada64fb9a0d49967e8cbc58b4de5ae4b3df390b99bcd771d55/api_dump,0,1,raw_API_verified_new_earlier_natural_stop,False,False,False
c52650f11387ce2601b652b9,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:12,0,,2200,4,deepseek_rerun_20260912,job_275d578f409ed53c6143771a8781b26ee21155b2a69b9646d13e3e89f3281643,trajectories/deepseek-v4-flash-0731/poolact/c52650f11387ce2601b652b9.json,c9570e36cbd2d832c80326bd7150937ac3147fdd3ed705190ff3ca22b8f14c95,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_275d578f409ed53c6143771a8781b26ee21155b2a69b9646d13e3e89f3281643/result/poolact/result.json,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_275d578f409ed53c6143771a8781b26ee21155b2a69b9646d13e3e89f3281643/api_dump,2,1,raw_API_verified_new_earlier_natural_stop,False,False,False
34147bb84bd134f2b3322cec,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:2,0,,2200,4,deepseek_rerun_20260912,job_5fddcd3b60cf53829bbceb11f57e0d23dda0f8c607b26d412fb4760ef6febe52,trajectories/deepseek-v4-flash-0731/poolact/34147bb84bd134f2b3322cec.json,e438c53db6878aa285413ab18a1ffcd44d35af7a7275a49d9dc6a2fe35f9004d,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_5fddcd3b60cf53829bbceb11f57e0d23dda0f8c607b26d412fb4760ef6febe52/result/poolact/result.json,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_5fddcd3b60cf53829bbceb11f57e0d23dda0f8c607b26d412fb4760ef6febe52/api_dump,3,1,raw_API_verified_new_earlier_natural_stop,False,False,False
e2b70fd229e0ad9833f041fc,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:3,0,,2200,4,deepseek_rerun_20260912,job_6cf7e75aa69a94e5f195ad00bcdcb9e02b5ab8c15f5eed34bbaaa5863cafcebf,trajectories/deepseek-v4-flash-0731/poolact/e2b70fd229e0ad9833f041fc.json,f00f3564772e7f2a918460554761f10decf11ddcbeccef542f7aa3e42727764f,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_6cf7e75aa69a94e5f195ad00bcdcb9e02b5ab8c15f5eed34bbaaa5863cafcebf/result/poolact/result.json,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_6cf7e75aa69a94e5f195ad00bcdcb9e02b5ab8c15f5eed34bbaaa5863cafcebf/api_dump,3,1,raw_API_verified_new_earlier_natural_stop,False,False,False
fd9c7b49ec22cbc344c16ad4,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:5,0,,2200,4,deepseek_rerun_20260912,job_be5b20c6281589671c0e9a64bdcddde6901c5468f711bcb6c1f066db4bfe23fa,trajectories/deepseek-v4-flash-0731/poolact/fd9c7b49ec22cbc344c16ad4.json,0b362e1cbb80a4dcbe897edc284df3ec94c65fbee1ca52f1c843e21ba6f6cd14,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_be5b20c6281589671c0e9a64bdcddde6901c5468f711bcb6c1f066db4bfe23fa/result/poolact/result.json,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_be5b20c6281589671c0e9a64bdcddde6901c5468f711bcb6c1f066db4bfe23fa/api_dump,2,1,raw_API_verified_new_earlier_natural_stop,False,False,False
b17fc226bb045789df8c3d49,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:8,0,,2200,4,deepseek_rerun_20260912,job_32defd79a5f0bc5b12b6ad78cf5997cb9893387c68b110892d03e50b68247206,trajectories/deepseek-v4-flash-0731/poolact/b17fc226bb045789df8c3d49.json,ab7fb9f98b060113892a7ad6924296f1d0c2a2f417840c001b6b22ed8f12110c,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_32defd79a5f0bc5b12b6ad78cf5997cb9893387c68b110892d03e50b68247206/result/poolact/result.json,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_32defd79a5f0bc5b12b6ad78cf5997cb9893387c68b110892d03e50b68247206/api_dump,3,1,raw_API_verified_new_earlier_natural_stop,False,False,False
2a395d2e30d11c9e0cd0c6d0,deepseek-v4-flash-0731,poolact,evidence_audit,cost_moderate,poolact,cc-large:9,0,,2200,4,deepseek_rerun_20260912,job_80f53300126e79bae69c3ebede5c52e70eb75bc2c8530b7b5f0646727b9b39ba,trajectories/deepseek-v4-flash-0731/poolact/2a395d2e30d11c9e0cd0c6d0.json,3998427e3c3472d7a8b5a597e5c6dc9931619ebd38154a24ead7d3af5e2221c3,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_80f53300126e79bae69c3ebede5c52e70eb75bc2c8530b7b5f0646727b9b39ba/result/poolact/result.json,/lustrefs/users/chufan.shi/codex_space_tn/eval_material_rerun_20260912/deepseek/queue/runs/invocations/job_80f53300126e79bae69c3ebede5c52e70eb75bc2c8530b7b5f0646727b9b39ba/api_dump,0,1,raw_API_verified_new_earlier_natural_stop,False,False,False
bbd9e7d8a34bfb0c76395570,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,cost_free,single,cc-large:7,0,1,2201,1,qwen_original,job_f211334b9b6c09330b75a828abf9e0b010de300772ac9350414b4533f89be570,trajectories/qwen3.8-2.4t-a95b-fp8/expgym/bbd9e7d8a34bfb0c76395570.json,8de6f6ed338cca8881f8ed06172335243ab255ffed961e2cbb828a4cd9d52545,/lustrefs/users/chufan.shi/codex_space_tn/qwen38_eval_20260910/formal/invocations/job_f211334b9b6c09330b75a828abf9e0b010de300772ac9350414b4533f89be570/result/qwen3.8-2.4t-a95b-fp8_cost_free/traces-v2/evidence_audit_cc-large_7_r1_s2201.json,/lustrefs/users/chufan.shi/codex_space_tn/qwen38_eval_20260910/formal/invocations/job_f211334b9b6c09330b75a828abf9e0b010de300772ac9350414b4533f89be570/api_dump,-1,1,raw_API_verified_new_earlier_natural_stop,False,False,False
