slot_id,model,system,scenario,regime,strategy,item,outer_repeat,order,seed,agent_id,source_locator,source_sha256,terminal_message_index,terminal_message_id,terminal_locator,raw_final_sha256,old_answer_sha256,new_answer_sha256,old_answer_present,new_answer_present,old_metrics_json,new_metrics_json,answer_changed,score_changed,change_reason,score_layer,answer_protocol,visible_verification_eff,runtime_counterfactual_changes,parsed_content_changed,formatting_only
d7516c8b7b723cb235036566,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:0,0,0,2200,-1,trajectories/deepseek-v4-flash-0731/expgym/d7516c8b7b723cb235036566.json,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,63,m0064,answer_message_id,be921cfbaa14b009d8b8726229d0066ff1b3ed77e85cf05d5812024027359e34,4eb39ab3ddff223f5db2d1036292cc99adb3aca12b77748bbdb5593ca5b12f7d,4eb39ab3ddff223f5db2d1036292cc99adb3aca12b77748bbdb5593ca5b12f7d,True,True,"{""evidence_acc"":0.7058823529411765,""label_acc"":1.0,""verification_eff"":1.0}","{""evidence_acc"":0.7058823529411765,""label_acc"":1.0,""verification_eff"":1.0}",False,False,unchanged,existing_trace_rescored,final-answer-boundary-v2,1.0,0,False,False
1f5ad7f5766bd28b4d63617d,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:0,0,1,2201,-1,trajectories/deepseek-v4-flash-0731/expgym/1f5ad7f5766bd28b4d63617d.json,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,25,m0026,answer_message_id,cf21dcbd3ed02720dbb5434b8328578034297567413af78b041d6f962237daf1,a1b5354c80e61367669cd8414e0ea08372220b3c5226f58b562f9b9d48985327,a1b5354c80e61367669cd8414e0ea08372220b3c5226f58b562f9b9d48985327,True,True,"{""evidence_acc"":0.35294117647058826,""label_acc"":0.7647058823529411,""verification_eff"":0.16666666666666666}","{""evidence_acc"":0.35294117647058826,""label_acc"":0.7647058823529411,""verification_eff"":0.16666666666666666}",False,False,unchanged,existing_trace_rescored,final-answer-boundary-v2,0.16666666666666666,0,False,False
4bc6433807e7a491ec0881a9,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:0,0,2,2202,-1,trajectories/deepseek-v4-flash-0731/expgym/4bc6433807e7a491ec0881a9.json,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,63,m0064,answer_message_id,6c3cf8b7e1c0a52b508dba19637d9271b9c22e29612022b5acc6e56c670bc300,9776fa1d700ed1992f7426fe2864459b677a50589104b39f19b4a4096884a738,9776fa1d700ed1992f7426fe2864459b677a50589104b39f19b4a4096884a738,True,True,"{""evidence_acc"":0.5882352941176471,""label_acc"":1.0,""verification_eff"":0.5}","{""evidence_acc"":0.5882352941176471,""label_acc"":1.0,""verification_eff"":0.5}",False,False,unchanged,existing_trace_rescored,final-answer-boundary-v2,0.5,0,False,False
19193789061d527701784c53,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:1,0,0,2200,-1,trajectories/deepseek-v4-flash-0731/expgym/19193789061d527701784c53.json,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,65,m0066,answer_message_id,84107b05970946412bcceab6a038fab988ace214a9e674fb970fedfb937b3276,dbaaa3373104820e6809d0e5aa4259be3b46c36bfa3b8c979b69522069615221,dbaaa3373104820e6809d0e5aa4259be3b46c36bfa3b8c979b69522069615221,True,True,"{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.625}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.625}",False,False,unchanged,existing_trace_rescored,final-answer-boundary-v2,0.625,0,False,False
3f42c6d29761ee5375eeac72,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:1,0,1,2201,-1,trajectories/deepseek-v4-flash-0731/expgym/3f42c6d29761ee5375eeac72.json,1fc83fc275935cb6fcf8fc340e885095492cd9a2900da05c074c745c69166946,80,m0081,answer_message_id,b48ba69beb90f081760af5b32585bf306f15a3f40ecaea715f86f27c7f76d982,92d37acf68fa4e001d279ec616bf7871ed7eb07284fa30dc143cd160c4833f12,92d37acf68fa4e001d279ec616bf7871ed7eb07284fa30dc143cd160c4833f12,True,True,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}",False,False,unchanged,existing_trace_rescored,final-answer-boundary-v2,,0,False,False
3d5665bd363c2d70c0ff2a76,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:1,0,2,2202,-1,trajectories/deepseek-v4-flash-0731/expgym/3d5665bd363c2d70c0ff2a76.json,424c6c0ac43232bae3c6bda58b5e96e448e48d00942e411c82bd4a27fbb7c13b,74,m0075,answer_message_id,2077ccff46a0ee80e2870241cfea64f141aa83ed754ea82500aa4b909fb64bbe,5e386525ea26b5b747133c8c73236faed7435a8640eea8eadc1b4b560c7b9f97,5e386525ea26b5b747133c8c73236faed7435a8640eea8eadc1b4b560c7b9f97,True,True,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}",False,False,unchanged,existing_trace_rescored,final-answer-boundary-v2,,0,False,False
97ee48f6181ec0fd1a3f860d,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:10,0,0,2200,-1,trajectories/deepseek-v4-flash-0731/expgym/97ee48f6181ec0fd1a3f860d.json,968c38861fe72ab3afb576d89c007930dc4c1ed7a6349da8ba6be2218f47a0fc,72,m0073,answer_message_id,d107b08654d1e69f2bad8f89c7dfa8ee1685e3648fe8d78169069597c73eef71,626018b47c1aa954df3f2b730884afbd69147605fe2bd14cd437239cf42272f9,626018b47c1aa954df3f2b730884afbd69147605fe2bd14cd437239cf42272f9,True,True,"{""evidence_acc"":0.5882352941176471,""label_acc"":0.8235294117647058,""verification_eff"":0.6}","{""evidence_acc"":0.5882352941176471,""label_acc"":0.8235294117647058,""verification_eff"":0.6}",False,False,unchanged,existing_trace_rescored,final-answer-boundary-v2,0.6,0,False,False
34c8519d9ac7e26afa899a9e,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:10,0,1,2201,-1,trajectories/deepseek-v4-flash-0731/expgym/34c8519d9ac7e26afa899a9e.json,fa54000d354335384390bcf79a608aa11595b6818357f6da218e8c37318d477f,63,m0064,answer_message_id,585febe23bf43d38b8b9423ac555934f9d1556f66f3f2d963b34384b83094551,e940ed7a317c7fc3645b4e31cf17ace450588f06447758e69f5a2181f7bbcc5c,e940ed7a317c7fc3645b4e31cf17ace450588f06447758e69f5a2181f7bbcc5c,True,True,"{""evidence_acc"":0.7647058823529411,""label_acc"":0.9411764705882353,""verification_eff"":0.7692307692307693}","{""evidence_acc"":0.7647058823529411,""label_acc"":0.9411764705882353,""verification_eff"":0.7692307692307693}",False,False,unchanged,existing_trace_rescored,final-answer-boundary-v2,0.7692307692307693,0,False,False
3acf599ce8059fb8cc4badfc,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:10,0,2,2202,-1,trajectories/deepseek-v4-flash-0731/expgym/3acf599ce8059fb8cc4badfc.json,62159683ed6798edf18bd46805cfff5df01c97f7d7ff21231620ffe64d3c5680,63,m0064,answer_message_id,e22264220b9e1e31a9d24a97db0a0eadf6d067c1cee027f8532a09c63793c43c,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b,False,False,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}",False,False,unchanged,existing_trace_rescored,final-answer-boundary-v2,,0,False,False
16661a382899189771e7624b,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:11,0,0,2200,-1,trajectories/deepseek-v4-flash-0731/expgym/16661a382899189771e7624b.json,255af2387639ddaa4cc240708a0489707f76d713692198312f8d812c1c92e520,58,m0059,answer_message_id,dd0dc2af333f9a646847c6f70867e348f522b0c9308752a64d75e33b3bc0bb35,0a3136393e9b22eeb3d48b498998794e45365a61e9777d10901d56024ce04322,0a3136393e9b22eeb3d48b498998794e45365a61e9777d10901d56024ce04322,True,True,"{""evidence_acc"":0.6470588235294118,""label_acc"":0.7647058823529411,""verification_eff"":0.6363636363636364}","{""evidence_acc"":0.6470588235294118,""label_acc"":0.7647058823529411,""verification_eff"":0.6363636363636364}",False,False,unchanged,existing_trace_rescored,final-answer-boundary-v2,0.6363636363636364,0,False,False
