slot_id,model,system,scenario,regime,strategy,item,outer_repeat,order,seed,source_sha256,old_metrics_json,new_metrics_json,score_changed,aggregate_answer_changed,aggregate_parsed_content_changed,endpoint_score_changed,change_reason,score_layer
d7516c8b7b723cb235036566,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:0,0,0,2200,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,"{""evidence_acc"":0.7058823529411765,""label_acc"":1.0}","{""evidence_acc"":0.7058823529411765,""label_acc"":1.0}",False,False,False,False,unchanged,existing_trace_rescored
1f5ad7f5766bd28b4d63617d,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:0,0,1,2201,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,"{""evidence_acc"":0.35294117647058826,""label_acc"":0.7647058823529411}","{""evidence_acc"":0.35294117647058826,""label_acc"":0.7647058823529411}",False,False,False,False,unchanged,existing_trace_rescored
4bc6433807e7a491ec0881a9,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:0,0,2,2202,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,"{""evidence_acc"":0.5882352941176471,""label_acc"":1.0}","{""evidence_acc"":0.5882352941176471,""label_acc"":1.0}",False,False,False,False,unchanged,existing_trace_rescored
19193789061d527701784c53,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:1,0,0,2200,4a5bcaf61bb43301a35b0e6f0f2acd5698f6741977a4d2f96e25adca4889052d,"{""evidence_acc"":1.0,""label_acc"":0.9411764705882353}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353}",False,False,False,False,unchanged,existing_trace_rescored
3f42c6d29761ee5375eeac72,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:1,0,1,2201,1fc83fc275935cb6fcf8fc340e885095492cd9a2900da05c074c745c69166946,"{""evidence_acc"":0.0,""label_acc"":0.0}","{""evidence_acc"":0.0,""label_acc"":0.0}",False,False,False,False,unchanged,existing_trace_rescored
3d5665bd363c2d70c0ff2a76,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:1,0,2,2202,424c6c0ac43232bae3c6bda58b5e96e448e48d00942e411c82bd4a27fbb7c13b,"{""evidence_acc"":0.0,""label_acc"":0.0}","{""evidence_acc"":0.0,""label_acc"":0.0}",False,False,False,False,unchanged,existing_trace_rescored
97ee48f6181ec0fd1a3f860d,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:10,0,0,2200,968c38861fe72ab3afb576d89c007930dc4c1ed7a6349da8ba6be2218f47a0fc,"{""evidence_acc"":0.5882352941176471,""label_acc"":0.8235294117647058}","{""evidence_acc"":0.5882352941176471,""label_acc"":0.8235294117647058}",False,False,False,False,unchanged,existing_trace_rescored
34c8519d9ac7e26afa899a9e,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:10,0,1,2201,fa54000d354335384390bcf79a608aa11595b6818357f6da218e8c37318d477f,"{""evidence_acc"":0.7647058823529411,""label_acc"":0.9411764705882353}","{""evidence_acc"":0.7647058823529411,""label_acc"":0.9411764705882353}",False,False,False,False,unchanged,existing_trace_rescored
3acf599ce8059fb8cc4badfc,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:10,0,2,2202,62159683ed6798edf18bd46805cfff5df01c97f7d7ff21231620ffe64d3c5680,"{""evidence_acc"":0.0,""label_acc"":0.0}","{""evidence_acc"":0.0,""label_acc"":0.0}",False,False,False,False,unchanged,existing_trace_rescored
16661a382899189771e7624b,deepseek-v4-flash-0731,expgym,evidence_audit,cost_free,single,cc-large:11,0,0,2200,255af2387639ddaa4cc240708a0489707f76d713692198312f8d812c1c92e520,"{""evidence_acc"":0.6470588235294118,""label_acc"":0.7647058823529411}","{""evidence_acc"":0.6470588235294118,""label_acc"":0.7647058823529411}",False,False,False,False,unchanged,existing_trace_rescored
