old_slot_id,job_id,model,item,regime,strategy,outer_repeat,seed,agents,status,whole_pool_attempt,code_commit,core_code_commit,source_tree_sha256,plan_sha256,historical_trajectory_sha256,result_sha256,completion_receipt_sha256,pool_wall_seconds_including_validation,sum_agent_wall_seconds,http_attempts,successful_http_attempts,error_http_attempts,logical_generations,reported_cost_usd,cost_report_count,requested_backend,requested_model,reasoning_effort,temperature,top_p,top_k,max_tokens_config,max_context_tokens,max_steps,max_evals,tool_protocol,graph_protocol,response_providers,response_models
64a9ab9d9b97029011fb6b74,job_2d64c3afffc8aa692fb8f34690a70b9af6bc0f8c668e36f65a055d2c1a51395e,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_moderate,cached,0,2200,4,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,93829a8e3cb2be879d2707df5c04823ede5d8e451ac2ba2c3321bc226b5449c9,950100662033dba4d8b55e27ed581d0d9faeaf804cbe23fc22215e08b19a7f9b,061147b91eca1801f9fd47d9ff2e034dc6bb7305941cc91a055d834aa787fed7,cb2e66676de497a32931dd6ad9a8cda99bffcbee53ab8340246ca8fbc95715cf,76.0452312529087,212.807782843709,35,35,0,35,0.4005819,35,openrouter,google/gemini-3.8-flash,medium,1.0,1.0,,32768,131072,30,30,native,paper-graph-lock-v4,Google AI Studio,google/gemini-3.8-flash
5e5a902a94dc4d8b880e190f,job_1e0b393ebd1b95d71d30f67fa092251a34820889372c80f4ec5c4fa08d4bf40a,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_moderate,cached,1,2204,4,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,93829a8e3cb2be879d2707df5c04823ede5d8e451ac2ba2c3321bc226b5449c9,7b622c01522c4cfc495ccd5f0defc34fe66ce4488a678194981abcbcde9df457,ab61903f3756ac68780b6e890a1f297445e2b80bf0304938142d203075d6b90b,6cb3a4ebbea3a4a2c480567eb498a319a5d71c721c392c754926333b55209c4f,60.405999556183815,140.67978596687317,27,27,0,27,0.23306024999999997,27,openrouter,google/gemini-3.8-flash,medium,1.0,1.0,,32768,131072,30,30,native,paper-graph-lock-v4,Google AI Studio,google/gemini-3.8-flash
50b6fc6a1762af007389b115,job_914b10aa99d75a0abd03cabd7f8dc3a8c9e2b9f934f7d6837bdc556a833589e1,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_moderate,cached,2,2208,4,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,93829a8e3cb2be879d2707df5c04823ede5d8e451ac2ba2c3321bc226b5449c9,bc6d890a3e0df4300baf3a401770b7be28c4ab87a6aefe5d5a920e01ab95102d,439c892f247adcbd419265ade8c534cbcaa07a7ae1e75b5b8f99b4e7b8546981,6072b15fd21a407be837378238a22dce84e52548b1e0020431e9d1233f886f8e,64.65350746363401,188.7606132850051,39,39,0,39,0.39730425,39,openrouter,google/gemini-3.8-flash,medium,1.0,1.0,,32768,131072,30,30,native,paper-graph-lock-v4,Google AI Studio,google/gemini-3.8-flash
b40fd65aa4cf8e855f76d674,job_f099b9bbe9d842f07b35331d5e2323322114b60f6e8ce4b3bf88ea752d9f39ce,gemini-3.8-flash-medium,hpobench:nasbench101:B,cost_moderate,cached,0,2200,4,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,93829a8e3cb2be879d2707df5c04823ede5d8e451ac2ba2c3321bc226b5449c9,bdcaae23e8a6669bba3bdeac72e786183ee526dcfc225bb6979bd6b0c0c58424,0d6e03dbc88722f9739da30f6bec37c60dccfd862cb251aba2e00b9507f42d4b,76f11de835a683f51702b42e2460415e1afe1df8da647155ba35758e0b7488b8,64.76219791546464,179.14625619724393,52,52,0,52,0.43307632500000004,52,openrouter,google/gemini-3.8-flash,medium,1.0,1.0,,32768,131072,30,30,native,paper-graph-lock-v4,Google AI Studio,google/gemini-3.8-flash
f965f886e9395bcc0dc54364,job_926bc1fce29ec67d63e9aa8439dda9ab23496fd9c8e2a009d3e517496ce70e9b,gemini-3.8-flash-medium,hpobench:nasbench101:B,cost_moderate,cached,1,2204,4,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,93829a8e3cb2be879d2707df5c04823ede5d8e451ac2ba2c3321bc226b5449c9,2f4480fa46f097461de3660e4d7f88b40f9dd3b34f12236ae20031343016bfbd,8fb734c5be811e81bb3e70faa9a3fca1db3f1f0a0b0e51502819158093fa8d1b,401a4186b94ddb5ce8ef69b35e7ea4c522e82fec7c114ebbae7b9fe525223dc8,97.28540068119764,355.37182587757707,80,80,0,80,0.8420153250000002,80,openrouter,google/gemini-3.8-flash,medium,1.0,1.0,,32768,131072,30,30,native,paper-graph-lock-v4,Google AI Studio,google/gemini-3.8-flash
7aa19a01271226153548860c,job_d589d55d21093e810286693a51d23d5f8dfc95876d00a8894c646fefc076f29a,gemini-3.8-flash-medium,hpobench:nasbench101:C,cost_moderate,cached,0,2200,4,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,93829a8e3cb2be879d2707df5c04823ede5d8e451ac2ba2c3321bc226b5449c9,8f9820f07ea203f08498bcfb918536cec941d7e1dee590beeba9e7dd64785ad4,fc5eb7272804076c3fdf941273aa3b1cf5822cba2499b566d7dad5a70cf1f764,58e0692f05d75e2879e28e9959279fdf1da19b84bc157cb2b32882aa076312ef,101.53291494771838,263.9694091901183,73,73,0,73,0.6609897749999998,73,openrouter,google/gemini-3.8-flash,medium,1.0,1.0,,32768,131072,30,30,native,paper-graph-lock-v4,Google AI Studio,google/gemini-3.8-flash
7c4b6bb9606f431d246535ad,job_ad1149a3b09c1ed07eb4e68bfd605440a9d0a58f7ec81c1241d708b1d4c05279,gemini-3.8-flash-medium,hpobench:nasbench101:C,cost_moderate,cached,1,2204,4,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,93829a8e3cb2be879d2707df5c04823ede5d8e451ac2ba2c3321bc226b5449c9,1ee9ef6ba727c84e96d76ffce2a5752769348d89837ba6fce36454da973250c8,fba4f17ea712c47d8eb41ba29a2a2edaff481367098923379155a7fcc7f29819,2b00136a85049aa865a38fe0f11c8b0b270a833bb24026cd96e5353b2697a3a4,84.84223147854209,290.8021845780313,74,74,0,74,0.7617122249999999,74,openrouter,google/gemini-3.8-flash,medium,1.0,1.0,,32768,131072,30,30,native,paper-graph-lock-v4,Google AI Studio,google/gemini-3.8-flash
524d5cc2fa9bb05e02f85fbf,job_4acc883c17d75dd3494ac141ae4640418cb3d47eee09f3327c7841cc60db22ce,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_moderate,naive,0,2200,4,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,93829a8e3cb2be879d2707df5c04823ede5d8e451ac2ba2c3321bc226b5449c9,6cec5d86a459961e4f1d8c9148b0d8ff6de25268baff6ed322a1b64241ef3638,113e3c035c0542076ae9909ca04b209532ceffdc16f569a8728e7233e3bb01da,a76ca018f91eaef960c030546e3c2f1851df0da42d0dad419e32813427ce2509,3644.0451963841915,3772.3417282029986,39,38,1,38,0.3434550000000001,38,openrouter,google/gemini-3.8-flash,medium,1.0,1.0,,32768,131072,30,30,native,paper-graph-lock-v4,Google AI Studio,google/gemini-3.8-flash
6088d50f8e20c4125949969a,job_84923be908a9211d6bce58a74a5fabbb3c34f75516d2641849b504a5f710cbed,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_moderate,naive,1,2204,4,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,93829a8e3cb2be879d2707df5c04823ede5d8e451ac2ba2c3321bc226b5449c9,97b13e47451386814ab826751c73af6bca6f4d6160b604a8893b7518d2528bfd,a0a047134bbde4ade3ecd57d659aea664d1cc5b84297f6ef8a5d8cf33af958aa,9bca04de6edb791828fe97002996e43abda9bab7728be3667ebee66504c09916,59.519866950809956,185.2830990664661,33,33,0,33,0.31038299999999996,33,openrouter,google/gemini-3.8-flash,medium,1.0,1.0,,32768,131072,30,30,native,paper-graph-lock-v4,Google AI Studio,google/gemini-3.8-flash
e2c9f647e77cadf93dbd4dd3,job_4dac025aa6752e4aac55828e2ee880a9908fd9e0204815e0b2d9b032ec4122be,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_moderate,naive,2,2208,4,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,93829a8e3cb2be879d2707df5c04823ede5d8e451ac2ba2c3321bc226b5449c9,d22069858d4a03f8b5c097bc24507f1db6d84c58b1a962719351c439b36ac821,9c0d86157e68387f5d88db2fb4cc349c6383188f5c20656e1925fc9128cdcb03,1a465aae613d2a0f55f1d627d4d7214f028dad25c5a07acd11010833dde37479,83.37501521781087,244.06947495788336,35,35,0,35,0.4222262999999999,35,openrouter,google/gemini-3.8-flash,medium,1.0,1.0,,32768,131072,30,30,native,paper-graph-lock-v4,Google AI Studio,google/gemini-3.8-flash
