slot_id,model,model_alias,system,scenario,N,scope,source_sha256,old_source_tree_sha256,new_job_id,plan_sha256,matrix_sha256,new_runtime_source_tree_sha256,new_code_commit
bbd9e7d8a34bfb0c76395570,qwen3.8-2.4t-a95b-fp8,qwen,expgym,evidence_audit,1,main_experiment,8de6f6ed338cca8881f8ed06172335243ab255ffed961e2cbb828a4cd9d52545,58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,job_7d7233188d3755044eb42c873b27ac5e206313e47208661e2746171e38035299,7e96900c92107ef548fe897feef6c47c70ace7f70a707bf44820c50c96bdcf15,7dc6e79000708567fddd10398401a818fd6ec6a78a41dde7f8a76022d89ec8f3,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,ffca5704580b75e254f6e52dd4fe9dff104b1be8
d54da21543d4c5d5267cf280,qwen3.8-2.4t-a95b-fp8,qwen,expgym,evidence_audit,1,main_experiment,b7c65f68018d4f82176aa8f368719cbf79644d67e99c9801172fd6b778fb4a9c,58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,job_7b0fb33850f8b5e007db23c0675e6d254fa8bc1b5540002f77c3ce57b18720da,7e96900c92107ef548fe897feef6c47c70ace7f70a707bf44820c50c96bdcf15,7dc6e79000708567fddd10398401a818fd6ec6a78a41dde7f8a76022d89ec8f3,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,ffca5704580b75e254f6e52dd4fe9dff104b1be8
d67c769bf1e64fefbbc93e94,qwen3.8-2.4t-a95b-fp8,qwen,poolact,evidence_audit,4,main_experiment,191200492c609bff5919970fbed509d82881b02711e65969d9fca80f358c9c99,58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,job_19420d5c007ed87d8c0d9656125e3907aee6713167fcfba0d4f3a69020e5b6cc,7e96900c92107ef548fe897feef6c47c70ace7f70a707bf44820c50c96bdcf15,7dc6e79000708567fddd10398401a818fd6ec6a78a41dde7f8a76022d89ec8f3,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,ffca5704580b75e254f6e52dd4fe9dff104b1be8
1af4cc84a9789c34054221ad,qwen3.8-2.4t-a95b-fp8,qwen,poolact,evidence_audit,4,main_experiment,d23485a47511a586146ca842c6f845dd9cf1634bceb0540d871722c331e0ce10,58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,job_3ef6fc29a3e3bf2550a9292e2f70a83d39b34a1ec01189f23b440e45b03f299d,7e96900c92107ef548fe897feef6c47c70ace7f70a707bf44820c50c96bdcf15,7dc6e79000708567fddd10398401a818fd6ec6a78a41dde7f8a76022d89ec8f3,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,ffca5704580b75e254f6e52dd4fe9dff104b1be8
7415b559c9ae98c15b028021,qwen3.8-2.4t-a95b-fp8,qwen,poolact,evidence_audit,4,main_experiment,056d63670002d074a60e3b0ed11f00aa709917f9b924bac6ab00fb92f12e805b,58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,job_6145f065ba4808365d1e24dbd19ea9341ecacf9491ee382cbcd5925cbff7a1db,7e96900c92107ef548fe897feef6c47c70ace7f70a707bf44820c50c96bdcf15,7dc6e79000708567fddd10398401a818fd6ec6a78a41dde7f8a76022d89ec8f3,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,ffca5704580b75e254f6e52dd4fe9dff104b1be8
45838801285306246f30f575,qwen3.8-2.4t-a95b-fp8,qwen,poolact,evidence_audit,4,main_experiment,f880e7614396505c973aae4203d13dd6ee18fb087b512479a7c4d4ba8f3cf302,58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,job_70e65aa9e5f054e0fdc7aa284f5cff5a23555e05b98d3d1ae2800fc18425228a,7e96900c92107ef548fe897feef6c47c70ace7f70a707bf44820c50c96bdcf15,7dc6e79000708567fddd10398401a818fd6ec6a78a41dde7f8a76022d89ec8f3,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,ffca5704580b75e254f6e52dd4fe9dff104b1be8
f89ad4badf4c758833244ebb,qwen3.8-2.4t-a95b-fp8,qwen,poolact,evidence_audit,4,main_experiment,8063b4f5be127cd38fb74efa3fc5f1ed662a5b74df331d8940393e774fa0bd82,58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,job_677a99eccb7d30f3ef8725af9ee13fbc616171d9f271a37929cd5527ca702dc1,7e96900c92107ef548fe897feef6c47c70ace7f70a707bf44820c50c96bdcf15,7dc6e79000708567fddd10398401a818fd6ec6a78a41dde7f8a76022d89ec8f3,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,ffca5704580b75e254f6e52dd4fe9dff104b1be8
e0d5f2259519e3141c3b434d,qwen3.8-2.4t-a95b-fp8,qwen,poolact,evidence_audit,4,main_experiment,754b7b9db78c4701c0d31fddcab6cbe087ecd7edbe017c6f0894a05aaa37d402,58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,job_a00348774c94feb636ac796759c1854e528e63a451de06de23a1f0138c3400a2,7e96900c92107ef548fe897feef6c47c70ace7f70a707bf44820c50c96bdcf15,7dc6e79000708567fddd10398401a818fd6ec6a78a41dde7f8a76022d89ec8f3,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,ffca5704580b75e254f6e52dd4fe9dff104b1be8
c71943652fd8b85b914b258f,qwen3.8-2.4t-a95b-fp8,qwen,poolact,evidence_audit,4,main_experiment,fd30c8ee1d53c7d0dab80b2ad5c983c1b121980c74818854618c6841c66c6762,58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,job_639ad6e056045db6ed376c1f3be2899b1816f9983d386b02708f493ab98fa304,7e96900c92107ef548fe897feef6c47c70ace7f70a707bf44820c50c96bdcf15,7dc6e79000708567fddd10398401a818fd6ec6a78a41dde7f8a76022d89ec8f3,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,ffca5704580b75e254f6e52dd4fe9dff104b1be8
63286b184c2fa48ded49005b,qwen3.8-2.4t-a95b-fp8,qwen,poolact,evidence_audit,4,main_experiment,a154e666801c8b897db3f6c9689772c1bf0477e86014737859704f98eccb31f1,58f8663d62864940cf16c9454d9c3d7230b77c2858748f5df491ce5d10a77251,job_2f04e0ec98e8fa94e3d0e9c4417d6bde72f608c6346da7cd13ff369bee50c7b7,7e96900c92107ef548fe897feef6c47c70ace7f70a707bf44820c50c96bdcf15,7dc6e79000708567fddd10398401a818fd6ec6a78a41dde7f8a76022d89ec8f3,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,ffca5704580b75e254f6e52dd4fe9dff104b1be8
