slot_id,model,system,scenario,item,regime,strategy,seed,outer_repeat,scoring_release,poolact_protocol,old_metrics_json,new_metrics_json,old_score_complete,new_score_complete,new_final_present,answer_changed,extracted_answer_changed,score_source_changed,score_changed,action_control_flow_changed,reason,source_sha256,source_path
89c9112cc92151495e485abb,deepseek-v4-flash-0731,expgym,tuning,hpobench:nasbench101:A,cost_free,single,2200,0,existing_trace_rescored,n1,"{""gap"": 99.28332342644987, ""gap0"": 99.28332342644987, ""raw_perf"": 0.941038986047109}","{""gap"": 99.28332342644987, ""gap0"": 99.28332342644987, ""raw_perf"": 0.941038986047109}",True,True,True,False,False,False,False,False,visible_configuration_match,d2ff72dbb62df9bd601f8981f602727b1da5376d6a848e6a0dcfe718a88d328d,../deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/89c9112cc92151495e485abb.json
3e3dc1bbb05a0b2fb57e1299,deepseek-v4-flash-0731,expgym,tuning,hpobench:nasbench101:A,cost_free,single,2204,1,existing_trace_rescored,n1,"{""gap"": 0.0, ""gap0"": 0.0, ""raw_perf"": 0.0}","{""gap"": 0.0, ""gap0"": 0.0, ""raw_perf"": 0.0}",True,True,True,False,False,False,False,False,invalid_configuration_zero,f3a7984f5532e53e46c6ab8d840276353d1ad93bc9a857120cb3f8e6ac77c50b,../deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/3e3dc1bbb05a0b2fb57e1299.json
bd8dc3368f85d96aa8038571,deepseek-v4-flash-0731,expgym,tuning,hpobench:nasbench101:A,cost_free,single,2208,2,existing_trace_rescored,n1,"{""gap"": null, ""gap0"": 0.0, ""raw_perf"": null}","{""gap"": null, ""gap0"": 0.0, ""raw_perf"": null}",False,False,False,False,False,False,False,False,no_accepted_final_configuration,cba57b66f5b1722848c458f201fa38fda60b858e8c918fcae9d96ce49aed6409,../deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/bd8dc3368f85d96aa8038571.json
7bebb7ba98193f9b1673a1b8,deepseek-v4-flash-0731,expgym,tuning,hpobench:nasbench101:B,cost_free,single,2200,0,existing_trace_rescored,n1,"{""gap"": 94.79889752195012, ""gap0"": 94.79889752195012, ""raw_perf"": 0.9356971184412638}","{""gap"": 94.79889752195012, ""gap0"": 94.79889752195012, ""raw_perf"": 0.9356971184412638}",True,True,True,False,False,False,False,False,visible_configuration_match,465ef6fe34cf1031f1bdceb46efcb413e3b6853b84e86a54a13f66d79726e3a3,../deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/7bebb7ba98193f9b1673a1b8.json
e3b613d7797be0ca8cc5f37a,deepseek-v4-flash-0731,expgym,tuning,hpobench:nasbench101:B,cost_free,single,2204,1,existing_trace_rescored,n1,"{""gap"": 98.49337730571698, ""gap0"": 98.49337730571698, ""raw_perf"": 0.9451121687889099}","{""gap"": 98.49337730571698, ""gap0"": 98.49337730571698, ""raw_perf"": 0.9451121687889099}",True,True,True,False,False,False,False,False,visible_configuration_match,b4c8e3fbb5481a2c8c6fbd6dd5b5080e81fc87b65b3902adab36ddd0ca7f6f4f,../deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/e3b613d7797be0ca8cc5f37a.json
02bc14a3ea9c1930b6f012d4,deepseek-v4-flash-0731,expgym,tuning,hpobench:nasbench101:B,cost_free,single,2208,2,existing_trace_rescored,n1,"{""gap"": 67.1164596858555, ""gap0"": 67.1164596858555, ""raw_perf"": 0.8651509086290995}","{""gap"": 67.1164596858555, ""gap0"": 67.1164596858555, ""raw_perf"": 0.8651509086290995}",True,True,True,False,False,False,False,False,visible_configuration_match,ff09770251523dc5b512882a7bdbf443a28e11b6fb665a3ddd562dd5b1ef3634,../deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/02bc14a3ea9c1930b6f012d4.json
4d123c2f2285b5bc16f147c3,deepseek-v4-flash-0731,expgym,tuning,hpobench:nasbench101:C,cost_free,single,2200,0,existing_trace_rescored,n1,"{""gap"": 98.87172661189092, ""gap0"": 98.87172661189092, ""raw_perf"": 0.9392027060190836}","{""gap"": 98.87172661189092, ""gap0"": 98.87172661189092, ""raw_perf"": 0.9392027060190836}",True,True,True,False,False,False,False,False,visible_configuration_match,ba8a5e40a4040b6aa1114ed889b9eb0aaf271a30881243672feef1fa9838159f,../deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/4d123c2f2285b5bc16f147c3.json
d9b88d5ed17473eb7a1a27ca,deepseek-v4-flash-0731,expgym,tuning,hpobench:nasbench101:C,cost_free,single,2204,1,existing_trace_rescored,n1,"{""gap"": 82.36116444504825, ""gap0"": 82.36116444504825, ""raw_perf"": 0.845886747042338}","{""gap"": 82.36116444504825, ""gap0"": 82.36116444504825, ""raw_perf"": 0.845886747042338}",True,True,True,False,False,False,False,False,visible_configuration_match,6a71992cc37603d52145befa83158ed3caac868e24b6a8deeca3dd0a7f0a8e60,../deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/d9b88d5ed17473eb7a1a27ca.json
0989a01e765f7b750113e2cf,deepseek-v4-flash-0731,expgym,tuning,hpobench:nasbench101:C,cost_free,single,2208,2,existing_trace_rescored,n1,"{""gap"": null, ""gap0"": 0.0, ""raw_perf"": null}","{""gap"": null, ""gap0"": 0.0, ""raw_perf"": null}",False,False,False,False,False,False,False,False,no_accepted_final_configuration,d053139e179a0651fad64830d4f44ecd2f251c604a92074554023cf7464fc456,../deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/0989a01e765f7b750113e2cf.json
520fdbebbf06e42089863ca3,deepseek-v4-flash-0731,expgym,tuning,hpobench:nasbench201:cifar10-valid,cost_free,single,2200,0,existing_trace_rescored,n1,"{""gap"": 82.31154476532424, ""gap0"": 82.31154476532424, ""raw_perf"": 0.9019866665364583}","{""gap"": 82.31154476532424, ""gap0"": 82.31154476532424, ""raw_perf"": 0.9019866665364583}",True,True,True,False,False,False,False,False,visible_configuration_match,074128ea2dbc58a73acfbff039487a7fa03c747016f95494855ec7515adfa842,../deliveries/paper-ad03e8c-20260916/trajectories/deepseek-v4-flash-0731/expgym/520fdbebbf06e42089863ca3.json
