slot_id,model,task,regime,strategy,seed,outer_repeat,metric,state,historical_score,existing_trace_rescored,new_runtime_score,extraction_delta,runtime_delta,old_result_sha256,new_result_sha256,new_job_id,reason
042f8a0c883918035d147e0e,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_tight,poolact,2200,0,raw_perf_mi,verified_complete,0.9395866642395655,0.9395866642395655,0.9398704618215561,0.0,0.0002837975819905969,17215673841ec69dee9f782433af86beea89a49d7a46c77138f937be31eebc17,1c3f68999bd0dbc34d89890c4d929eba08bea4181a6208550f235c837e8fd2e7,job_1ea3a23030d53af77c5c893d7188b54556e12895aa002510fcaea21f18b94bb1,entire legacy graph protocol cohort; includes no-observed-collision slots
042f8a0c883918035d147e0e,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_tight,poolact,2200,0,raw_perf_bon,verified_complete,0.9406717419624329,0.9406717419624329,0.9421741366386414,0.0,0.001502394676208496,17215673841ec69dee9f782433af86beea89a49d7a46c77138f937be31eebc17,1c3f68999bd0dbc34d89890c4d929eba08bea4181a6208550f235c837e8fd2e7,job_1ea3a23030d53af77c5c893d7188b54556e12895aa002510fcaea21f18b94bb1,entire legacy graph protocol cohort; includes no-observed-collision slots
042f8a0c883918035d147e0e,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_tight,poolact,2200,0,gap_mi,verified_complete,99.07686393214375,99.07686393214375,99.11720809344378,0.0,0.040344161300026826,17215673841ec69dee9f782433af86beea89a49d7a46c77138f937be31eebc17,1c3f68999bd0dbc34d89890c4d929eba08bea4181a6208550f235c837e8fd2e7,job_1ea3a23030d53af77c5c893d7188b54556e12895aa002510fcaea21f18b94bb1,entire legacy graph protocol cohort; includes no-observed-collision slots
042f8a0c883918035d147e0e,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_tight,poolact,2200,0,gap_bon,verified_complete,99.23111665821482,99.23111665821482,99.44469442278952,0.0,0.21357776457470834,17215673841ec69dee9f782433af86beea89a49d7a46c77138f937be31eebc17,1c3f68999bd0dbc34d89890c4d929eba08bea4181a6208550f235c837e8fd2e7,job_1ea3a23030d53af77c5c893d7188b54556e12895aa002510fcaea21f18b94bb1,entire legacy graph protocol cohort; includes no-observed-collision slots
042f8a0c883918035d147e0e,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_tight,poolact,2200,0,gap0_mi,verified_complete,99.07686393214375,99.07686393214375,99.11720809344378,0.0,0.040344161300026826,17215673841ec69dee9f782433af86beea89a49d7a46c77138f937be31eebc17,1c3f68999bd0dbc34d89890c4d929eba08bea4181a6208550f235c837e8fd2e7,job_1ea3a23030d53af77c5c893d7188b54556e12895aa002510fcaea21f18b94bb1,entire legacy graph protocol cohort; includes no-observed-collision slots
042f8a0c883918035d147e0e,gemini-3.8-flash-medium,hpobench:nasbench101:A,cost_tight,poolact,2200,0,gap0_bon,verified_complete,99.23111665821482,99.23111665821482,99.44469442278952,0.0,0.21357776457470834,17215673841ec69dee9f782433af86beea89a49d7a46c77138f937be31eebc17,1c3f68999bd0dbc34d89890c4d929eba08bea4181a6208550f235c837e8fd2e7,job_1ea3a23030d53af77c5c893d7188b54556e12895aa002510fcaea21f18b94bb1,entire legacy graph protocol cohort; includes no-observed-collision slots
0528aa82238ccb6ab56e8172,gemini-3.8-flash-medium,hpobench:nasbench101:B,cost_moderate,poolact,2200,0,raw_perf_mi,verified_complete,0.9410306463638941,0.9410306463638941,0.9436932404836018,0.0,0.0026625941197077063,df46fa9272b6392e720c9f5acc736a05713dc56237cb1eab9f9630d26e434c6b,0fce39746481e4cc16de55078cfa0087d82db82e3e1ed57a3d695bd28fd979bb,job_8ade7b319723e6dce66f0b4a8aa4b430ed1e2e7654a0cd320a0384b4f9d6f345,entire legacy graph protocol cohort; includes no-observed-collision slots
0528aa82238ccb6ab56e8172,gemini-3.8-flash-medium,hpobench:nasbench101:B,cost_moderate,poolact,2200,0,raw_perf_bon,verified_complete,0.9421741366386414,0.9421741366386414,0.9450453917185465,0.0,0.002871255079905155,df46fa9272b6392e720c9f5acc736a05713dc56237cb1eab9f9630d26e434c6b,0fce39746481e4cc16de55078cfa0087d82db82e3e1ed57a3d695bd28fd979bb,job_8ade7b319723e6dce66f0b4a8aa4b430ed1e2e7654a0cd320a0384b4f9d6f345,entire legacy graph protocol cohort; includes no-observed-collision slots
0528aa82238ccb6ab56e8172,gemini-3.8-flash-medium,hpobench:nasbench101:B,cost_moderate,poolact,2200,0,gap_mi,verified_complete,96.89178182513818,96.89178182513818,97.93658772467286,0.0,1.0448058995346798,df46fa9272b6392e720c9f5acc736a05713dc56237cb1eab9f9630d26e434c6b,0fce39746481e4cc16de55078cfa0087d82db82e3e1ed57a3d695bd28fd979bb,job_8ade7b319723e6dce66f0b4a8aa4b430ed1e2e7654a0cd320a0384b4f9d6f345,entire legacy graph protocol cohort; includes no-observed-collision slots
0528aa82238ccb6ab56e8172,gemini-3.8-flash-medium,hpobench:nasbench101:B,cost_moderate,poolact,2200,0,gap_bon,verified_complete,97.340489112619,97.340489112619,98.46717388381616,0.0,1.1266847711971621,df46fa9272b6392e720c9f5acc736a05713dc56237cb1eab9f9630d26e434c6b,0fce39746481e4cc16de55078cfa0087d82db82e3e1ed57a3d695bd28fd979bb,job_8ade7b319723e6dce66f0b4a8aa4b430ed1e2e7654a0cd320a0384b4f9d6f345,entire legacy graph protocol cohort; includes no-observed-collision slots
