model,task,seed,rep,free_delivered,tight_delivered,free_stopping,tight_stopping,free_first_best,tight_first_best,free_final,tight_final,free_slot_id,tight_slot_id,free_score_complete,tight_score_complete
deepseek-v4-flash-0731,hpobench:nasbench101:A,2200,0,27,3,cap,natural,24,3,0.941038986047109,0.845886747042338,89c9112cc92151495e485abb,647826dc5fe48b22f0a4c82f,True,True
deepseek-v4-flash-0731,hpobench:nasbench101:A,2204,0,0,5,natural,natural,,5,0.0,0.9380007982254028,3e3dc1bbb05a0b2fb57e1299,0defdd7dc02dfb5da59dd731,True,True
deepseek-v4-flash-0731,hpobench:nasbench101:A,2208,0,13,1,other,budget,7,1,,0.845886747042338,bd8dc3368f85d96aa8038571,f308767c5cdebb261e46e256,False,True
deepseek-v4-flash-0731,hpobench:nasbench101:B,2200,0,27,6,cap,other,26,6,0.9356971184412638,0.9366319378217062,7bebb7ba98193f9b1673a1b8,6a0f02f345774620ac0b5044,True,True
deepseek-v4-flash-0731,hpobench:nasbench101:B,2204,0,24,3,cap,natural,17,3,0.9451121687889099,0.910523513952891,e3b613d7797be0ca8cc5f37a,72e4e941b76489f47e90e04f,True,True
deepseek-v4-flash-0731,hpobench:nasbench101:B,2208,0,7,0,other,other,5,,0.8651509086290995,0.8863848845163981,02bc14a3ea9c1930b6f012d4,166e4efea6042fb189f92738,True,True
deepseek-v4-flash-0731,hpobench:nasbench101:C,2200,0,20,2,other,budget,19,1,0.9392027060190836,0.845886747042338,4d123c2f2285b5bc16f147c3,f11456ff6d9f288724b4f1b0,True,True
deepseek-v4-flash-0731,hpobench:nasbench101:C,2204,0,1,0,other,other,1,,0.845886747042338,0.845886747042338,d9b88d5ed17473eb7a1a27ca,e23544862f77cc8f93c0b71c,True,True
deepseek-v4-flash-0731,hpobench:nasbench101:C,2208,0,9,3,other,budget,3,3,,0.8955996036529541,0989a01e765f7b750113e2cf,4c72d6358a5610ebfdd98d76,False,True
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,2200,0,15,3,other,budget,1,2,0.9019866665364583,0.9019866665364583,520fdbebbf06e42089863ca3,919c5d2fb79817cfec11954b,True,True
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,2204,0,29,3,cap,other,24,1,0.9160666665039063,0.9019866665364583,20242745173e7a37a6f9aa39,cb096f6e6707bffee0aed337,True,True
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,2208,0,3,4,other,natural,2,1,,0.9019866665364583,9c5e675b1d5b7ad74054651c,78744731fc174ba80b99f0da,False,True
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,2200,0,14,2,other,budget,13,2,0.7170000000000001,0.7350333333333333,896a82a095ffd9bbe05b92cf,7942362bb20dd64582748d41,True,True
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,2204,0,23,3,natural,budget,20,1,0.732,0.7090666666666667,2fac101987e464d8baf25ae1,3407f9374da60cf7fe9f913c,True,True
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,2208,0,16,3,other,budget,12,3,0.7350333333333333,0.728,7ce05a0752d831ba5fbb2374,23fe847ce436008f50b587ec,True,True
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,2200,0,29,4,cap,natural,26,1,0.46349999959309895,0.41111111097547737,c7101783dbe65990d5daea05,55d245ac8cda67c384e18ae9,True,True
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,2204,0,29,3,cap,budget,13,2,0.450166666531033,0.41111111097547737,a96c8ea7425559bea04129c4,db8445cc8b7abf36c276ab66,True,True
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,2208,0,18,4,other,budget,18,3,0.4514444445122613,0.41111111097547737,bd92b8b1099df1c84f42fcb5,6165feabe211e3c216455e79,True,True
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,2200,0,9,1,other,budget,4,1,0.851694443501808,0.8422037010656462,f00e4ec4eb2125ca0e51147f,c2822bfb0f7560f88ceae45c,True,True
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,2204,0,1,1,other,budget,1,1,0.8422037010656462,0.8422037010656462,64ff162c3d5212c504b6f08d,b431322d86edeb6f949f4d6d,True,True
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,2208,0,6,1,other,other,5,1,,,9064c8c34e8722bafdf67d60,475358179bd6968267115cef,False,False
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,2200,0,28,4,cap,natural,12,3,0.7162869031899145,0.7095618134107426,f52190f30fe09428607ac3fe,5384614ca7d1aef00a06fbb1,True,True
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,2204,0,9,6,other,budget,9,6,,0.7189575685208794,848a30d9deab1ebce72503fb,1a6c65604fe59d419b9e3431,False,True
deepseek-v4-flash-0731,hpobench:paramnet:higgs:steps,2208,0,1,1,other,other,1,1,0.6515821149829788,,0e54fd58fba6fc237ae727fd,2afc7ec386bf0776db78eff4,True,False
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,2200,0,19,4,other,natural,17,4,,0.9593848918329154,18a561a0023ef10a06987794,de1cca8b58c51d0468b40276,False,True
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,2204,0,10,11,other,natural,9,10,,0.9192446861276256,995c0131ad9d435e6b229fc5,7d0c86ddb9f4e643c85d1158,False,True
deepseek-v4-flash-0731,hpobench:paramnet:letter:steps,2208,0,26,9,cap,natural,15,9,0.9246494806268429,0.7390547241710635,24245cf46f633e0a017a5d0c,48044289f15feb8a13f5b8a8,True,True
gemini-3.8-flash-medium,hpobench:nasbench101:A,2200,0,30,3,cap,natural,29,1,0.9456797440846761,0.9388020833333334,969fe1ce3003231cbc407b3f,ac1cc321afa6db33900250e4,True,True
gemini-3.8-flash-medium,hpobench:nasbench101:A,2204,0,30,2,cap,budget,16,2,0.9444778362909952,0.845886747042338,79cc896dcd18edab4d4dead8,007d49abd269972d71db27ef,True,True
gemini-3.8-flash-medium,hpobench:nasbench101:A,2208,0,29,2,cap,budget,24,2,0.9450453917185465,0.9331263502438863,e7f439080d5b824fc4f4192d,70c9a3833557709e7c04f139,True,True
gemini-3.8-flash-medium,hpobench:nasbench101:B,2200,0,30,3,cap,natural,21,2,0.944778323173523,0.9412393172581991,be5d9f38a34fd82b0318f9d5,cde1f2c02fdac5dabeb44731,True,True
gemini-3.8-flash-medium,hpobench:nasbench101:B,2204,0,30,3,cap,budget,17,1,0.9412393172581991,0.9386351307233175,330f5164305f15a097249382,d7408fd1b73d168c8fea1aa6,True,True
gemini-3.8-flash-medium,hpobench:nasbench101:B,2208,0,30,3,cap,natural,20,2,0.9456797440846761,0.9431089560190836,a5ab17df8d8d853c5f3d9375,24c7610871c2dd75c0ff6f6d,True,True
gemini-3.8-flash-medium,hpobench:nasbench101:C,2200,0,30,5,cap,natural,23,4,0.94264155626297,0.940872073173523,5850ac4811d22f872b580030,7e36024bd6da25cf033071ea,True,True
gemini-3.8-flash-medium,hpobench:nasbench101:C,2204,0,30,5,cap,natural,25,2,0.9505542318026224,0.93482905626297,27aff4f2675c1b10c6eb2e44,4bcad20aa421f7f29efc76d7,True,True
gemini-3.8-flash-medium,hpobench:nasbench101:C,2208,0,30,6,cap,natural,30,4,0.9456797440846761,0.9388354818026224,b50ff6f062896ae4695dd367,41e1e3332e19c0c470075284,True,True
gemini-3.8-flash-medium,hpobench:nasbench201:cifar10-valid,2200,0,26,3,natural,natural,7,2,0.9160666665039063,0.9111599998860676,844b39d0eeaa862ab08f4ab6,cbbf83c2a1a8aa0931a487e2,True,True
gemini-3.8-flash-medium,hpobench:nasbench201:cifar10-valid,2204,0,26,3,natural,natural,12,3,0.9160666665039063,0.9111599999430336,2c5c6e5fd2be3808b9206c57,c69c2b5a64ad959164e58703,True,True
gemini-3.8-flash-medium,hpobench:nasbench201:cifar10-valid,2208,0,30,2,cap,natural,11,2,0.9160666665039063,0.915533333235677,cc1194762f4de9fea8c43a51,2a5009cc570165ccbba5310f,True,True
