slot_id,model,budget,strategy,metric,old,new,delta,source_sha256,reason
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,correct_label_wrong_evidence_conditional,,0.0,,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,empty_correct_label_wrong_evidence_conditional,,0.0,,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,empty_evidence_exact,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,empty_joint_correct,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,empty_label_correct,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,evidence_acc,0.0,1.0,1.0,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,joint_acc,0.0,1.0,1.0,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,label_acc,0.0,1.0,1.0,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,nonempty_correct_label_wrong_evidence_conditional,,0.0,,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,nonempty_evidence_exact,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,nonempty_evidence_precision,0.0,1.0,1.0,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,nonempty_evidence_recall,0.0,1.0,1.0,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,nonempty_joint_correct,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,nonempty_label_correct,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,nonempty_missing_any,1,0,-1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,verification_eff,,1.0,,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,glm-5.3,cost_free,single,visible_verification_eff,,1.0,,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,correct_label_wrong_evidence_conditional,,0.375,,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,empty_correct_label_wrong_evidence_conditional,,0.0,,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,empty_evidence_exact,0,1,1,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,empty_joint_correct,0,1,1,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,empty_label_correct,0,1,1,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,evidence_acc,0.0,0.5882352941176471,0.5882352941176471,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,joint_acc,0.0,0.5882352941176471,0.5882352941176471,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,label_acc,0.0,0.9411764705882353,0.9411764705882353,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,label_correct_wrong_evidence_rate,0.0,0.35294117647058826,0.35294117647058826,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,nonempty_correct_label_wrong_evidence_conditional,,0.5,,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,nonempty_evidence_exact,0,0.46153846153846156,0.46153846153846156,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
27ae01a2c27f5f27b7e51bc3,glm-5.3,cost_moderate,single,nonempty_evidence_precision,0.0,0.717948717948718,0.717948717948718,45c2130da72307ad6a85977643f98817a4f66e02c38a534bdf20a2b5c09a8075,explicit_terminal_label_selected_from_full_response
