slot_id,model,system,scenario,regime,strategy,item,order,source_sha256,diagnostic_agent_index,mechanism,old_metrics_json,prior_diagnostic_metrics_json,strict_structured_suffix
0d3453888c175559af6d98cf,glm-5.3,poolact,evidence_audit,cost_moderate,poolact,cc-large:2,,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,2,stored_full_response_explicit_final_not_extracted,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.9411764705882353,""label_acc"":0.9411764705882353,""verification_eff"":0.125}",False
1a2023362ebc6cd31355b6c7,glm-5.3,expgym,evidence_audit,cost_free,single,cc-large:6,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,stored_full_response_explicit_final_not_extracted,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":1.0,""verification_eff"":1.0}",False
1da8580854b3f826b41a662f,glm-5.3,poolact,evidence_audit,cost_moderate,poolact,cc-large:5,,57c0f75360b05dc8e1d2e824b77f62dffde8d780c0e76ec95ccfeada41dd792b,0,earlier_answer_label_retained_actual_bold_label,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.375}",False
2cea1af8007307d53a1841c3,glm-5.3,poolact,evidence_audit,cost_moderate,naive,cc-large:10,,9d348d7d1dce51ad4d352e3c76a21d9b7ff4f283f897711f4fc1fe000090c69d,1,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.47058823529411764,""label_acc"":0.8823529411764706,""verification_eff"":0.0}",False
35c5c7c02071036b1b9dd746,glm-5.3,poolact,evidence_audit,cost_moderate,cached,cc-large:12,,a15a0461035d46f50cd52dc9cddc983902fd245f9fe0fbd916c710b783d2a8f4,2,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.6470588235294118,""label_acc"":0.8823529411764706,""verification_eff"":0.09090909090909091}",True
394153a7fec87614798648ca,glm-5.3,poolact,evidence_audit,cost_moderate,cached,cc-large:4,,11acc3dfd55c40bdc0d837dac2477d30ad07716d3ade82d3739a044fc0b27c24,0,stored_full_response_explicit_final_not_extracted,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":1.0,""verification_eff"":0.4117647058823529}",False
394153a7fec87614798648ca,glm-5.3,poolact,evidence_audit,cost_moderate,cached,cc-large:4,,11acc3dfd55c40bdc0d837dac2477d30ad07716d3ade82d3739a044fc0b27c24,2,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.9411764705882353,""label_acc"":1.0,""verification_eff"":0.5}",True
41dab96ca161b7bb869df04a,glm-5.3,expgym,evidence_audit,cost_tight,single,cc-large:11,0,b71480f3ef2515c96ebb799d15ee8b3b91ea234557c57f3cc78f2d6ae4f7d32f,0,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.5294117647058824,""label_acc"":0.8823529411764706,""verification_eff"":0.0}",False
4b6589c2aaf9a594b4b0f42a,glm-5.3,poolact,evidence_audit,cost_moderate,cached,cc-large:8,,e8e7f00fa9ec908fb82c29272208366cb57ab2a5700eaababaff7e438ce75414,2,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.8235294117647058,""label_acc"":1.0,""verification_eff"":0.2857142857142857}",False
5cc903035cf29928cfef0094,glm-5.3,poolact,evidence_audit,cost_tight,poolact,cc-large:9,,14938b08a7f760ff4fb81d4802729336ed2ba9e987d4f64ac3822af94b5b6328,2,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":0.8823529411764706,""label_acc"":0.8823529411764706,""verification_eff"":0.07142857142857142}",True
64f0c5bdf19e558b25c2c926,glm-5.3,poolact,evidence_audit,cost_moderate,poolact,cc-large:3,,856708370fbbdecf3684ab971346727f1fc5b85eae3dd435402f5975dacd2f72,1,leaked_closing_bold_marker,"{""evidence_acc"":0.0,""label_acc"":0.0,""verification_eff"":null}","{""evidence_acc"":1.0,""label_acc"":0.9411764705882353,""verification_eff"":0.375}",False
