model,task,repeat,seed,transition,free_slot_id,tight_slot_id,free_score_complete,tight_score_complete,free_strict_gap,tight_strict_gap,free_gap0,tight_gap0,tight_minus_free_gap0
deepseek-v4-flash-0731,hpobench:nasbench101:A,0,2200,scored_to_scored,89c9112cc92151495e485abb,647826dc5fe48b22f0a4c82f,True,True,99.28332342644987,85.75664976157574,99.28332342644987,85.75664976157574,-13.526673664874124
deepseek-v4-flash-0731,hpobench:nasbench101:A,1,2204,scored_to_scored,3e3dc1bbb05a0b2fb57e1299,0defdd7dc02dfb5da59dd731,True,True,0.0,98.85142003009625,0.0,98.85142003009625,98.85142003009625
deepseek-v4-flash-0731,hpobench:nasbench101:A,2,2208,missing_to_scored,bd8dc3368f85d96aa8038571,f308767c5cdebb261e46e256,False,True,,85.75664976157574,0.0,85.75664976157574,85.75664976157574
deepseek-v4-flash-0731,hpobench:nasbench101:B,0,2200,scored_to_scored,7bebb7ba98193f9b1673a1b8,6a0f02f345774620ac0b5044,True,True,94.79889752195012,95.1657220396099,94.79889752195012,95.1657220396099,0.3668245176597793
deepseek-v4-flash-0731,hpobench:nasbench101:B,1,2204,scored_to_scored,e3b613d7797be0ca8cc5f37a,72e4e941b76489f47e90e04f,True,True,98.49337730571698,84.92073761491496,98.49337730571698,84.92073761491496,-13.57263969080202
deepseek-v4-flash-0731,hpobench:nasbench101:B,2,2208,scored_to_scored,02bc14a3ea9c1930b6f012d4,166e4efea6042fb189f92738,True,True,67.1164596858555,75.44870346023217,67.1164596858555,75.44870346023217,8.332243774376664
deepseek-v4-flash-0731,hpobench:nasbench101:C,0,2200,scored_to_scored,4d123c2f2285b5bc16f147c3,f11456ff6d9f288724b4f1b0,True,True,98.87172661189092,82.36116444504825,98.87172661189092,82.36116444504825,-16.510562166842675
deepseek-v4-flash-0731,hpobench:nasbench101:C,1,2204,scored_to_scored,d9b88d5ed17473eb7a1a27ca,e23544862f77cc8f93c0b71c,True,True,82.36116444504825,82.36116444504825,82.36116444504825,82.36116444504825,0.0
deepseek-v4-flash-0731,hpobench:nasbench101:C,2,2208,missing_to_scored,0989a01e765f7b750113e2cf,4c72d6358a5610ebfdd98d76,False,True,,91.15695048809212,0.0,91.15695048809212,91.15695048809212
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,0,2200,scored_to_scored,520fdbebbf06e42089863ca3,919c5d2fb79817cfec11954b,True,True,82.31154476532424,82.31154476532424,82.31154476532424,82.31154476532424,0.0
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,1,2204,scored_to_scored,20242745173e7a37a6f9aa39,cb096f6e6707bffee0aed337,True,True,100.0,82.31154476532424,100.0,82.31154476532424,-17.688455234675757
deepseek-v4-flash-0731,hpobench:nasbench201:cifar10-valid,2,2208,missing_to_scored,9c5e675b1d5b7ad74054651c,78744731fc174ba80b99f0da,False,True,,82.31154476532424,0.0,82.31154476532424,82.31154476532424
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,0,2200,scored_to_scored,896a82a095ffd9bbe05b92cf,7942362bb20dd64582748d41,True,True,85.23004152984714,100.0,85.23004152984714,100.0,14.769958470152858
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,1,2204,scored_to_scored,2fac101987e464d8baf25ae1,3407f9374da60cf7fe9f913c,True,True,97.51558924069516,78.73235185166527,97.51558924069516,78.73235185166527,-18.783237389029892
deepseek-v4-flash-0731,hpobench:nasbench201:cifar100,2,2208,scored_to_scored,7ce05a0752d831ba5fbb2374,23fe847ce436008f50b587ec,True,True,100.0,94.23944318446901,100.0,94.23944318446901,-5.76055681553099
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,0,2200,scored_to_scored,c7101783dbe65990d5daea05,55d245ac8cda67c384e18ae9,True,True,96.25384645540578,56.5614606330794,96.25384645540578,56.5614606330794,-39.69238582232638
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,1,2204,scored_to_scored,a96c8ea7425559bea04129c4,db8445cc8b7abf36c276ab66,True,True,86.15186082139311,56.5614606330794,86.15186082139311,56.5614606330794,-29.590400188313716
deepseek-v4-flash-0731,hpobench:nasbench201:imagenet16-120,2,2208,scored_to_scored,bd92b8b1099df1c84f42fcb5,6165feabe211e3c216455e79,True,True,87.11996795182625,56.5614606330794,87.11996795182625,56.5614606330794,-30.558507318746855
deepseek-v4-flash-0731,hpobench:paramnet:adult:steps,0,2200,scored_to_scored,f00e4ec4eb2125ca0e51147f,c2822bfb0f7560f88ceae45c,True,True,95.05458795957453,72.01344351468897,95.05458795957453,72.01344351468897,-23.04114444488556
