model,doc_index,order,hypothesis,gold_evidence_ids,free_first_partial_and_tight_final_ids,free_feedback_calls,free_exact_feedback_seen,free_slot_id,tight_slot_id,free_source_sha256,tight_source_sha256
deepseek-v4-flash-0731,0,2,nda-4,"[44, 49, 50, 53]","[44, 53]",3,1,4bc6433807e7a491ec0881a9,25cb54bf12d79de9af424a62,03591fc4e14a978e446e972a59c41fa5a08f5fb1034c5a8a4ecb5450af206a7a,58084b115ff14205c9a518e7352885f66953ab5bb8e73d59ff2ff2c3d2ac71d5
deepseek-v4-flash-0731,5,2,nda-4,"[9, 10]",[10],5,1,1c9b1e6e57bb2810e4289647,4fc329468625d8f9d1bed4cd,9d7dea94416d33452b95d116f4b9720dd10f259fce7da06e4d1102ed1e659271,5d638a6a059d581f0912657ecbaa120913ed32639c7cd530a7f8eacb7bc25e2c
deepseek-v4-flash-0731,6,2,nda-12,"[24, 31]",[31],3,1,c78ae04e231c8b522439dcd2,424c1bf2440afd43cd1ab97f,b80da49af549892554096b8a7b7be313b7681d02a7cc568f7ad4e2ead8f68c48,ab66104e33bb46feeb3a0261f053f207a8207f35ec6b93a7c939ef9dca2d6f7b
deepseek-v4-flash-0731,6,2,nda-13,"[24, 28]",[28],2,1,c78ae04e231c8b522439dcd2,424c1bf2440afd43cd1ab97f,b80da49af549892554096b8a7b7be313b7681d02a7cc568f7ad4e2ead8f68c48,ab66104e33bb46feeb3a0261f053f207a8207f35ec6b93a7c939ef9dca2d6f7b
deepseek-v4-flash-0731,6,2,nda-5,"[15, 18, 19, 20, 36]","[18, 19, 20]",9,1,c78ae04e231c8b522439dcd2,424c1bf2440afd43cd1ab97f,b80da49af549892554096b8a7b7be313b7681d02a7cc568f7ad4e2ead8f68c48,ab66104e33bb46feeb3a0261f053f207a8207f35ec6b93a7c939ef9dca2d6f7b
deepseek-v4-flash-0731,6,2,nda-4,"[15, 17]",[17],1,0,c78ae04e231c8b522439dcd2,424c1bf2440afd43cd1ab97f,b80da49af549892554096b8a7b7be313b7681d02a7cc568f7ad4e2ead8f68c48,ab66104e33bb46feeb3a0261f053f207a8207f35ec6b93a7c939ef9dca2d6f7b
deepseek-v4-flash-0731,7,2,nda-17,"[24, 25]",[25],2,1,13d661ba6d4943df2bffbcae,dde922f43d40e0cfc2f92d65,20e1e7a152bbc4bea1df8a98f1c3c361fa0c727dc799d353389029213427b9bc,c64d42904c16c10085f6ff9ceb921582a8b5b66d4b43a5604997c70a5c80dad3
deepseek-v4-flash-0731,8,0,nda-4,"[31, 33]",[33],3,1,7135de92beef6bd20c7ee1f6,4981054255a1237b3346122e,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,dd56f0c48c77187e8703c4f6acdffa02931f98bc4be0a7b6ff15e0b03f4b54d1
deepseek-v4-flash-0731,8,0,nda-8,"[37, 39]",[39],2,1,7135de92beef6bd20c7ee1f6,4981054255a1237b3346122e,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,dd56f0c48c77187e8703c4f6acdffa02931f98bc4be0a7b6ff15e0b03f4b54d1
deepseek-v4-flash-0731,8,0,nda-12,"[24, 28]",[28],2,1,7135de92beef6bd20c7ee1f6,4981054255a1237b3346122e,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,dd56f0c48c77187e8703c4f6acdffa02931f98bc4be0a7b6ff15e0b03f4b54d1
deepseek-v4-flash-0731,8,0,nda-19,"[31, 32, 62]",[62],3,1,7135de92beef6bd20c7ee1f6,4981054255a1237b3346122e,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,dd56f0c48c77187e8703c4f6acdffa02931f98bc4be0a7b6ff15e0b03f4b54d1
deepseek-v4-flash-0731,8,0,nda-7,"[16, 37, 38]","[16, 38]",2,1,7135de92beef6bd20c7ee1f6,4981054255a1237b3346122e,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,dd56f0c48c77187e8703c4f6acdffa02931f98bc4be0a7b6ff15e0b03f4b54d1
deepseek-v4-flash-0731,8,0,nda-13,"[24, 27]",[27],2,1,7135de92beef6bd20c7ee1f6,4981054255a1237b3346122e,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,dd56f0c48c77187e8703c4f6acdffa02931f98bc4be0a7b6ff15e0b03f4b54d1
deepseek-v4-flash-0731,8,0,nda-2,"[19, 20, 23]",[23],2,1,7135de92beef6bd20c7ee1f6,4981054255a1237b3346122e,1447e3e55fedb9f680926b48f71e1fe8c1c432e346be71295a96132438b00e3f,dd56f0c48c77187e8703c4f6acdffa02931f98bc4be0a7b6ff15e0b03f4b54d1
deepseek-v4-flash-0731,8,1,nda-13,"[24, 27]",[27],2,1,960ead1ec1ad7385a403f031,c133c832c03db78a0602e2ff,a1440addbbe569942f71fac2b9aff382bdda7c910cc18aa66c4829738d941419,9491c01c63051f8642b30d2ce5d7838b5dd3af5a8345d25c816ccab9bb50a465
deepseek-v4-flash-0731,8,1,nda-10,"[19, 20, 21]",[21],2,1,960ead1ec1ad7385a403f031,c133c832c03db78a0602e2ff,a1440addbbe569942f71fac2b9aff382bdda7c910cc18aa66c4829738d941419,9491c01c63051f8642b30d2ce5d7838b5dd3af5a8345d25c816ccab9bb50a465
deepseek-v4-flash-0731,8,1,nda-12,"[24, 28]",[28],2,1,960ead1ec1ad7385a403f031,c133c832c03db78a0602e2ff,a1440addbbe569942f71fac2b9aff382bdda7c910cc18aa66c4829738d941419,9491c01c63051f8642b30d2ce5d7838b5dd3af5a8345d25c816ccab9bb50a465
deepseek-v4-flash-0731,8,1,nda-3,"[19, 20, 23]",[23],2,1,960ead1ec1ad7385a403f031,c133c832c03db78a0602e2ff,a1440addbbe569942f71fac2b9aff382bdda7c910cc18aa66c4829738d941419,9491c01c63051f8642b30d2ce5d7838b5dd3af5a8345d25c816ccab9bb50a465
