execution_id,model,system,scenario,item,family,regime,strategy,N,outerrep,order,seed,metric,unit,value,higher_is_better,scope,known_agent_subset_value,missing_reason
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,evidence_acc,fraction,0.8823529411764706,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0.8823529411764706,
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,label_acc,fraction,1.0,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,1.0,
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,input_tokens,tokens,446379,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,,
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,output_tokens,tokens,12565,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,,
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,feedback_attempts,count,29.0,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,,
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,feedback_visible,count,29.0,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,,
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,duplicate_action_attempts,count,0,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,,
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,feedback_cost_seconds,seconds,8671.908542355523,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,,
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,wall_time_seconds,seconds,528.0652368068695,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,,
job_7cf675836e4bdf7f331ac6fd0e657f352dec4ddc5d1e76010fecce545d515ee8,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,0,2200,protocol_failure_rate,fraction,0.03225806451612903,,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,,
job_15ccb011af15e2443c89bf68675f2637a0bc90463c05f9d9bd9026dc763708c5,qwen3.8-2.4t-a95b-fp8,expgym,evidence_audit,contract-nli/doc1,evidence_audit,cost_free,single,1,0,1,2201,evidence_acc,fraction,0.7058823529411765,True,planned_analysis_unit; Audit_mean_once; pool_resources_N_sum_except_wall,0.7058823529411765,
