slot_id,model,regime,source,question_id,score,unique_visible_articles,attempted_feedback,termination_reason,trace_sha256,selection,candidate_count
adcdd5f28837de38597611aa,deepseek-v4-flash-0731,cost_tight,phantom_seed2,14,0.5,3,5,time_budget_exceeded,e94110a7deb6aa6480988d97e8d5991970b3b0508ff5cb1924fc202e09f976d8,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,64
17cfdf64824b080cbffc3c77,deepseek-v4-flash-0731,cost_free,phantom_seed2,31,0.33333333333333337,7,15,natural_answer,17db59b1fddfe0b0a284f775fe0199e00b4cb7a959a0e89172d58edd1893f065,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,19
dc4a73e53f7023262a541e76,gemini-3.8-flash-medium,cost_tight,phantom_seed2,7,0.0,3,4,time_budget_exceeded,b856f61901136d7daccc04956619d4ae5d3bccd68aeb4bed89913fa58c428c85,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,61
18693e6ea1a84c24ac33eddc,gemini-3.8-flash-medium,cost_free,phantom_seed2,15,0.0,17,19,natural_answer,a2073e8589b96ab594b3c34ae10406e5763f1b8875323fbeef7dbaa7507546d2,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,6
875c73634e559192bcf3295a,glm-5.3,cost_tight,phantom_seed2,11,0.0,3,4,time_budget_exceeded,00b17142b5a99393c9c9cf8210afc730f394b4441e425013210956558f278bb0,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,64
05459a7f41ba0820b6b47720,glm-5.3,cost_free,phantom_seed3,14,0.6666666666666666,9,9,natural_answer,ad96080af9a8b8c72b2da2749be5bbe3c64827400999c59b6aa95adcafa8cea4,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,14
0b6826314f47a5be46bc0e71,gpt-5.6-sol,cost_tight,phantom_seed2,1,0.0,3,5,time_budget_exceeded,7afa5d0d8034700771e96cc505d63a687dbb12d92a80812ef0effd6c6141ffd4,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,54
e77042f30e40fde943ee1441,gpt-5.6-sol,cost_free,phantom_seed2,34,0.16666666666666669,6,6,natural_answer,a7ca7cff52b69e8016afdb7171fec066a5f0e8a1e9ed976f7d154ab7dbf23dbc,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,29
ab2990d611f07f5f194d02ac,kimi-k3,cost_tight,phantom_seed3,35,0.0,2,3,time_budget_exceeded,03f9b807bafe54b7b920c955bfc9906444db5196acc95e3ac9521a7e02764f1f,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,58
a863b1eb4ac30aaff8708b27,kimi-k3,cost_free,phantom_seed3,36,0.18181818181818182,9,12,natural_answer,e4b98eee82acb601170b7c43caa2c383409a3644f9bd5cccae166e5e12d9cb3e,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,27
aea45372cba88a014683a6f1,qwen3.8-2.4t-a95b-fp8,cost_tight,phantom_seed3,35,0.0,2,3,time_budget_exceeded,21f04bdeda2021c08dee8cb572f688d0f14d709440a824322af9645cc31c7484,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,47
7c7d9d05d746ae81ebf6322f,qwen3.8-2.4t-a95b-fp8,cost_free,phantom_seed2,31,0.33333333333333337,11,16,natural_answer,80e8b860810037e62d4de4b1df130c3f3b74aaf85f1e8ad0a35e7509b2020530,Upper median distinct visible articles among imperfect answers in model/regime/terminal stratum; source/qid tiebreak,19
