budget,model,gold_subset,n_hypothesis_presentations,label_correct,evidence_exact,joint_correct,label_correct_wrong_evidence,missing_any,extra_any,queried,ever_exact_proposal,wrong_first_final_exact,exact_seen_final_wrong,revised_after_wrong,queried_first_wrong,queried_first_correct
cost_free,ALL,all,3978,3492,3330,3235,257,399,196,3035,2902,1308,153,1326,1419,1616
cost_free,ALL,nonempty,2160,1901,1734,1644,257,399,97,1648,1598,728,86,774,800,848
cost_free,ALL,empty,1818,1591,1596,1591,0,0,99,1387,1304,580,67,552,619,768
cost_free,deepseek-v4-flash-0731,all,663,443,424,407,36,144,21,457,437,181,92,218,233,224
cost_free,deepseek-v4-flash-0731,nonempty,360,230,211,194,36,144,15,254,240,118,60,148,157,97
cost_free,deepseek-v4-flash-0731,empty,303,213,213,213,0,0,6,203,197,63,32,70,76,127
cost_free,gemini-3.8-flash-medium,all,663,645,647,633,12,9,10,636,619,232,0,227,237,399
cost_free,gemini-3.8-flash-medium,nonempty,360,345,347,333,12,9,7,344,338,131,0,133,135,209
cost_free,gemini-3.8-flash-medium,empty,303,300,300,300,0,0,3,292,281,101,0,94,102,190
cost_free,glm-5.3,all,663,576,573,560,16,45,14,599,588,231,59,257,263,336
cost_free,glm-5.3,nonempty,360,315,312,299,16,45,10,326,320,129,25,143,144,182
cost_free,glm-5.3,empty,303,261,261,261,0,0,4,273,268,102,34,114,119,154
cost_free,gpt-5.6-sol,all,663,570,467,449,121,129,94,211,167,114,1,81,119,92
cost_free,gpt-5.6-sol,nonempty,360,327,221,206,121,129,38,106,100,45,0,45,48,58
cost_free,gpt-5.6-sol,empty,303,243,246,243,0,0,56,105,67,69,1,36,71,34
cost_free,kimi-k3,all,663,630,610,594,36,36,28,561,540,269,1,266,278,283
cost_free,kimi-k3,nonempty,360,345,323,309,36,36,12,313,303,154,1,155,161,152
cost_free,kimi-k3,empty,303,285,287,285,0,0,16,248,237,115,0,111,117,131
cost_free,qwen3.8-2.4t-a95b-fp8,all,663,628,609,592,36,36,29,571,551,281,0,277,289,282
cost_free,qwen3.8-2.4t-a95b-fp8,nonempty,360,339,320,303,36,36,15,305,297,151,0,150,155,150
cost_free,qwen3.8-2.4t-a95b-fp8,empty,303,289,289,289,0,0,14,266,254,130,0,127,134,132
cost_moderate,ALL,all,3978,3440,2847,2766,674,778,441,1257,812,752,23,509,851,406
cost_moderate,ALL,nonempty,2160,1908,1315,1234,674,778,216,716,576,301,17,287,370,346
cost_moderate,ALL,empty,1818,1532,1532,1532,0,0,225,541,236,451,6,222,481,60
cost_moderate,deepseek-v4-flash-0731,all,663,501,389,375,126,187,76,186,157,90,15,92,111,75
cost_moderate,deepseek-v4-flash-0731,nonempty,360,269,157,143,126,187,38,111,95,40,10,50,56,55
cost_moderate,deepseek-v4-flash-0731,empty,303,232,232,232,0,0,38,75,62,50,5,42,55,20
cost_moderate,gemini-3.8-flash-medium,all,663,612,549,537,75,92,43,263,210,121,0,80,127,136
cost_moderate,gemini-3.8-flash-medium,nonempty,360,327,264,252,75,92,25,186,174,56,0,53,61,125
cost_moderate,gemini-3.8-flash-medium,empty,303,285,285,285,0,0,18,77,36,65,0,27,66,11
cost_moderate,glm-5.3,all,663,565,498,488,77,106,58,265,90,174,8,77,212,53
cost_moderate,glm-5.3,nonempty,360,313,246,236,77,106,35,148,77,74,7,51,101,47
cost_moderate,glm-5.3,empty,303,252,252,252,0,0,23,117,13,100,1,26,111,6
cost_moderate,gpt-5.6-sol,all,663,583,437,424,159,161,95,141,58,104,0,49,116,25
cost_moderate,gpt-5.6-sol,nonempty,360,331,185,172,159,161,44,62,46,32,0,31,40,22
cost_moderate,gpt-5.6-sol,empty,303,252,252,252,0,0,51,79,12,72,0,18,76,3
cost_moderate,kimi-k3,all,663,594,477,462,132,129,77,191,131,135,0,106,148,43
cost_moderate,kimi-k3,nonempty,360,336,219,204,132,129,32,84,69,43,0,44,50,34
cost_moderate,kimi-k3,empty,303,258,258,258,0,0,45,107,62,92,0,62,98,9
cost_moderate,qwen3.8-2.4t-a95b-fp8,all,663,585,497,480,105,103,92,211,166,128,0,105,137,74
cost_moderate,qwen3.8-2.4t-a95b-fp8,nonempty,360,332,244,227,105,103,42,125,115,56,0,58,62,63
cost_moderate,qwen3.8-2.4t-a95b-fp8,empty,303,253,253,253,0,0,50,86,51,72,0,47,75,11
