model,budget,doc_index,doc_id,order,source_cohort,hypothesis,position,gold_label,gold_nonempty,gold_size,submitted_size,valid_hypothesis_submission,label_correct,evidence_exact,joint_correct,label_correct_wrong_evidence,missing_count,extra_count,overlap_count,missing_any,extra_any,evidence_precision,evidence_recall,feedback_calls,visible_feedback_calls,queried,ever_exact_proposal,submitted_exactly_verified,first_proposal_exact,wrong_first_final_exact,exact_seen_final_wrong,revised_after_wrong,final_changed_from_first,gold_evidence_ids,submitted_evidence_ids,first_visible_evidence_ids,first_visible_feedback_status,slot_id,source_sha256,agent_id,score_version,answer_change_reason
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-10,0,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[],[],[],Evidence Correct,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-4,1,Entailment,1,4,4,1,1,1,1,0,0,0,4,0,0,1.0,1.0,3,3,1,1,1,0,1,0,1,1,"[44, 49, 50, 53]","[44, 49, 50, 53]",[44],Evidence Incomplete,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-8,2,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[71],[71],[71],Evidence Correct,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-12,3,Entailment,1,2,2,1,1,1,1,0,0,0,2,0,0,1.0,1.0,3,3,1,1,1,0,1,0,1,1,"[63, 67]","[63, 67]",[67],Evidence Incomplete,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-19,4,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[76],[76],[76],Evidence Correct,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-3,5,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,3,3,1,1,1,0,1,0,1,1,[],[],[25],Contain Irrelevant Evidences,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-16,6,Entailment,1,3,3,1,1,1,1,0,0,0,3,0,0,1.0,1.0,4,4,1,1,1,0,1,0,1,1,"[84, 85, 86]","[84, 85, 86]","[84, 85, 86, 87, 88]",Contain Irrelevant Evidences,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-1,7,Contradiction,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,2,2,1,1,1,0,1,0,1,1,[25],[25],[],Evidence Incomplete,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-15,8,Entailment,1,1,1,1,1,1,1,0,0,0,1,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[45],[45],[45],Evidence Correct,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-7,9,Entailment,1,2,2,1,1,1,1,0,0,0,2,0,0,1.0,1.0,8,8,1,1,1,0,1,0,1,1,"[37, 38]","[37, 38]",[38],Evidence Incomplete,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-20,10,Entailment,1,1,2,1,1,0,0,1,0,1,1,0,1,0.5,1.0,0,0,0,0,0,,0,0,0,0,[60],"[60, 87]",,,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-11,11,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,2,2,1,1,1,0,1,0,1,1,[],[],"[3, 7]",Contain Irrelevant Evidences,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-17,12,Entailment,1,1,1,1,1,0,0,1,1,1,0,1,1,0.0,0.0,0,0,0,0,0,,0,0,0,0,[60],[59],,,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-13,13,Entailment,1,2,1,1,1,0,0,1,1,0,1,1,0,1.0,0.5,0,0,0,0,0,,0,0,0,0,"[63, 66]",[66],,,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-2,14,Contradiction,1,2,3,1,1,0,0,1,1,2,1,1,1,0.3333333333333333,0.5,0,0,0,0,0,,0,0,0,0,"[25, 32]","[25, 28, 29]",,,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-5,15,Entailment,1,3,1,1,1,0,0,1,2,0,1,1,0,1.0,0.3333333333333333,0,0,0,0,0,,0,0,0,0,"[37, 38, 55]",[38],,,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,0,deepseek_original,nda-18,16,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,[],[],[],Evidence Correct,d7516c8b7b723cb235036566,6391a9d9b90fec989cbb4d717f7968ee1681fe766b08fad7caca2d0c57bac8f5,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-13,0,Entailment,1,2,0,1,0,0,0,0,2,0,0,1,0,0.0,0.0,0,0,0,0,0,,0,0,0,0,"[63, 66]",[],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
deepseek-v4-flash-0731,cost_free,0,1,1,deepseek_original,nda-10,1,NotMentioned,0,0,0,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,,0,0,0,0,[],[],,,1f5ad7f5766bd28b4d63617d,4c9748c6ad6c60391a53428eb9af03be808796c6676606236c114495fc3e62f1,-1,new,unchanged
