comparison,model,system,scenario,slice_kind,slice,metric,unit,N,regime,analysis_unit,report_scale,report_score_unit,report_delta_unit,complete,free_full_mean,free_expected_units,free_known_units,free_missing_units,free_absolute_record,free_cohort_id,moderate_full_mean,moderate_expected_units,moderate_known_units,moderate_missing_units,moderate_absolute_record,moderate_cohort_id,tight_full_mean,tight_expected_units,tight_known_units,tight_missing_units,tight_absolute_record,tight_cohort_id,moderate_minus_free,tight_minus_free,tight_minus_moderate
N1_budget,deepseek-v4-flash-0731,expgym,evidence_audit,all,all,evidence_acc,fraction,1,,document_mean_3_fixed_orders,100,0–100,percentage_points,true,0.6395173453996983,13,13,0,1,deepseek_original,0.5867269984917044,13,13,0,3,deepseek_original,0.47511312217194573,13,13,0,5,deepseek_original,-0.0527903469079939,-0.16440422322775257,-0.11161387631975867
N1_budget,deepseek-v4-flash-0731,expgym,evidence_audit,all,all,label_acc,fraction,1,,document_mean_3_fixed_orders,100,0–100,percentage_points,true,0.6681749622926093,13,13,0,2,deepseek_original,0.7556561085972852,13,13,0,4,deepseek_original,0.702865761689291,13,13,0,6,deepseek_original,0.0874811463046759,0.0346907993966817,-0.0527903469079942
N1_budget,deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,evidence_acc,fraction,1,,document_mean_3_fixed_orders,100,0–100,percentage_points,true,0.6395173453996983,13,13,0,7,deepseek_original,0.5867269984917044,13,13,0,9,deepseek_original,0.47511312217194573,13,13,0,11,deepseek_original,-0.0527903469079939,-0.16440422322775257,-0.11161387631975867
N1_budget,deepseek-v4-flash-0731,expgym,evidence_audit,family,evidence_audit,label_acc,fraction,1,,document_mean_3_fixed_orders,100,0–100,percentage_points,true,0.6681749622926093,13,13,0,8,deepseek_original,0.7556561085972852,13,13,0,10,deepseek_original,0.702865761689291,13,13,0,12,deepseek_original,0.0874811463046759,0.0346907993966817,-0.0527903469079942
N1_budget,deepseek-v4-flash-0731,expgym,restricted_search,all,all,f1,fraction,1,,single_trace,100,0–100,percentage_points,true,0.4381339584401631,73,73,0,13,deepseek_original,0.42111672909416664,73,73,0,14,deepseek_original,0.16918418675066538,73,73,0,15,deepseek_original,-0.01701722934599646,-0.26894977168949772,-0.25193254234350126
N1_budget,deepseek-v4-flash-0731,expgym,restricted_search,family,whatis,f1,fraction,1,,single_trace,100,0–100,percentage_points,true,0.36907308377896614,34,34,0,16,deepseek_original,0.33351648351648355,34,34,0,17,deepseek_original,0.15926916221033868,34,34,0,18,deepseek_original,-0.03555660026248259,-0.20980392156862746,-0.17424732130614487
N1_budget,deepseek-v4-flash-0731,expgym,restricted_search,family,whois,f1,fraction,1,,single_trace,100,0–100,percentage_points,true,0.498340874811463,39,39,0,19,deepseek_original,0.4974861739567622,39,39,0,20,deepseek_original,0.17782805429864254,39,39,0,21,deepseek_original,-0.0008547008547008,-0.32051282051282046,-0.31965811965811966
N1_budget,deepseek-v4-flash-0731,expgym,tuning,all,all,gap,Gap points,1,,single_trace,1,Gap points,Gap points,false,,27,20,7,22,deepseek_original,,27,25,2,25,deepseek_original,,27,25,2,28,deepseek_original,,,
N1_budget,deepseek-v4-flash-0731,expgym,tuning,all,all,gap0,Gap points,1,,single_trace,1,Gap points,Gap points,true,61.093958124966825,27,27,0,23,deepseek_original,74.01985210220249,27,27,0,26,deepseek_original,75.80946916471585,27,27,0,29,deepseek_original,12.925893977235665,14.715511039749025,1.78961706251336
N1_budget,deepseek-v4-flash-0731,expgym,tuning,all,all,raw_perf,fraction,1,,single_trace,100,0–100,percentage_points,false,,27,20,7,24,deepseek_original,,27,25,2,27,deepseek_original,,27,25,2,30,deepseek_original,,,
N1_budget,deepseek-v4-flash-0731,expgym,tuning,family,nasbench101,gap,Gap points,1,,single_trace,1,Gap points,Gap points,false,,9,7,2,31,deepseek_original,71.8771348220569,9,9,0,34,deepseek_original,86.86435133846594,9,9,0,37,deepseek_original,,,14.98721651640904
