model,regime,strategy,cohort_id,question_index,data_source,result_sha256,bytes,agents,feedback_attempts,feedback_visible,unique_query_attempts,unique_visible_queries,hypothesis_attempts,visible_hypotheses,first_choice_unique_hypotheses,within_agent_repeated_attempts,cross_agent_overlap_queries,unique_verified_correct_queries,unique_verified_correct_nonempty,semantic_redundancy_fraction,correct_visible,incomplete_visible,irrelevant_visible,other_visible,withheld,invalid_payload_attempts,peer_snapshot_count,peer_verified_correct_queries,peer_only_verified_correct_queries,final_matches_peer_only_verified,final_matches_peer_only_verified_nonempty,final_answer_parsed,agents_with_peer_snapshot,agents_with_peer_only_nonempty_final_match,cache_hits,cache_size,graph_pending_claims,slot_id,source_sha256,score_version,answer_change_reason,label_acc,evidence_acc,verification_eff
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,0,phantom_seed1,55b602395ed90c243c86de577b6605e2189f98e4a76cc45506ef5979154379fd,418625,4,42,38,32,28,8,8,2,0,10,6,3,0.23809523809523814,12,6,20,0,4,0,0,0,0,0,0,4,0,0,2,28,0,37360edf6099ac1c16dd4453,55b602395ed90c243c86de577b6605e2189f98e4a76cc45506ef5979154379fd,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.4117647058823529,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,1,phantom_seed1,08e8491e7982414d77a92b431693e83ad97c42174e3d33156cc671f1d6c991a9,475664,4,46,43,22,19,11,11,1,1,23,9,8,0.5217391304347826,26,7,10,0,3,0,0,0,0,0,0,4,0,0,4,19,0,5752d6b9d08c767a3bc5ba01,08e8491e7982414d77a92b431693e83ad97c42174e3d33156cc671f1d6c991a9,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,0.7647058823529411,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,2,phantom_seed1,87bcf7063271095500dd7fd2be7ca2dbf82f90d4a3e9c20a865ce969e8f26d23,368174,4,59,57,21,19,13,12,2,0,38,12,6,0.6440677966101696,38,2,17,0,2,0,0,0,0,0,0,4,0,0,20,19,0,3e5564dd85b405949523f2b4,87bcf7063271095500dd7fd2be7ca2dbf82f90d4a3e9c20a865ce969e8f26d23,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.9411764705882353,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,3,phantom_seed1,6e5f2028a25ca444ffad065e1b30f009ef93b813bf8815c074cc749123b1b76f,453555,4,63,62,24,24,12,12,3,0,39,12,5,0.6190476190476191,35,10,17,0,1,0,0,0,0,0,0,4,0,0,22,24,0,b6ceab17a23b23daaf14bbf2,6e5f2028a25ca444ffad065e1b30f009ef93b813bf8815c074cc749123b1b76f,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,4,phantom_seed1,a1fa6268a33e838f3d547623b58e6749080697ba60511da867c6d6c1956e9091,395685,4,53,50,25,23,14,13,4,0,28,13,9,0.5283018867924528,28,6,16,0,3,0,0,0,0,0,0,4,0,0,11,24,0,9fcfa71d788aaa0a1907d487,a1fa6268a33e838f3d547623b58e6749080697ba60511da867c6d6c1956e9091,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,0.8235294117647058,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,5,phantom_seed1,f6e1c41f34cd8d682e70e23b058caff839fd02667bd5212f6e27626fa65c91c6,504716,4,54,53,23,22,9,9,2,0,31,9,4,0.5740740740740741,25,4,24,0,1,0,0,0,0,0,0,4,0,0,15,22,0,1d44a8e0af6a07fecd6384f1,f6e1c41f34cd8d682e70e23b058caff839fd02667bd5212f6e27626fa65c91c6,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,1.0,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,6,phantom_seed1,372fe053d2a4a9126627de5aac4bd0f431587005875e44ef1ef55ee69b23e729,515322,4,71,69,33,31,13,13,3,0,38,12,8,0.5352112676056338,34,6,29,0,2,0,0,0,0,0,0,4,0,0,30,31,0,a05dfbc248daac8c4d1f8630,372fe053d2a4a9126627de5aac4bd0f431587005875e44ef1ef55ee69b23e729,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,0.7647058823529411,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,7,phantom_seed1,6c4df997a8e14d896d97bd8e40e914bb38887830dd991076bdb9e060b5acbab7,392419,4,45,41,20,17,10,9,3,0,25,7,4,0.5555555555555556,22,5,14,0,4,0,0,0,0,0,0,4,0,0,5,17,0,1521fa95992e7741a6389083,6c4df997a8e14d896d97bd8e40e914bb38887830dd991076bdb9e060b5acbab7,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.9411764705882353,0.9411764705882353,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,8,phantom_seed1,f88481d760ca37a1b76988db3b6952f2cd10df43584fa806ec584a384249c3e4,485877,4,43,40,32,31,14,14,4,0,11,12,7,0.2558139534883721,19,10,11,0,3,0,0,0,0,0,0,4,0,0,3,31,0,3f965e0986017086749473a6,f88481d760ca37a1b76988db3b6952f2cd10df43584fa806ec584a384249c3e4,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,1.0,0.6470588235294118,0.0
deepseek-v4-flash-0731,cost_moderate,cached,deepseek_rerun_20260912,9,phantom_seed1,ec61b3a2411103a8f4981a2b10c5b315a385cca14d75496fde000285141b16bf,378441,4,47,44,28,26,13,12,3,0,19,11,9,0.4042553191489362,21,11,12,0,3,0,0,0,0,0,0,4,0,0,7,27,0,525bcd4f98c6df2a1862ca7a,ec61b3a2411103a8f4981a2b10c5b315a385cca14d75496fde000285141b16bf,new,member_terminal_extraction_and_common_audit_wrapper_acceptance,0.8823529411764706,0.5294117647058824,0.0
