dimension,model,regime,metric,full_mean,display_value,complete,rank_among_complete,all_six_complete,overall_winner,cohort_id
Search whois,kimi-k3,cost_free,f1,0.6588618353324236,65.89,True,3,True,False,kimi_original
Search whois,glm-5.3,cost_free,f1,0.6826510091215974,68.27,True,2,True,False,glm_original
Search whois,qwen3.8-2.4t-a95b-fp8,cost_free,f1,0.6411018175724058,64.11,True,4,True,False,qwen_original
Search whois,deepseek-v4-flash-0731,cost_free,f1,0.49834087481146305,49.83,True,6,True,False,deepseek_original
Search whois,gpt-5.6-sol,cost_free,f1,0.6278280542986425,62.78,True,5,True,False,gpt_original
Search whois,gemini-3.8-flash-medium,cost_free,f1,0.7386339151045034,73.86,True,1,True,True,gemini_snapshot
Search whois,kimi-k3,cost_moderate,f1,0.5730039024156671,57.30,True,5,True,False,kimi_original
Search whois,glm-5.3,cost_moderate,f1,0.642842148105306,64.28,True,1,True,True,glm_original
Search whois,qwen3.8-2.4t-a95b-fp8,cost_moderate,f1,0.611283487754076,61.13,True,3,True,False,qwen_original
Search whois,deepseek-v4-flash-0731,cost_moderate,f1,0.4974861739567622,49.75,True,6,True,False,deepseek_original
Search whois,gpt-5.6-sol,cost_moderate,f1,0.5974861739567622,59.75,True,4,True,False,gpt_original
Search whois,gemini-3.8-flash-medium,cost_moderate,f1,0.6276652541358424,62.77,True,2,True,False,gemini_snapshot
Search whois,kimi-k3,cost_tight,f1,0.17013574660633485,17.01,True,5,True,False,kimi_original
Search whois,glm-5.3,cost_tight,f1,0.23057530704589527,23.06,True,1,True,True,glm_original
Search whois,qwen3.8-2.4t-a95b-fp8,cost_tight,f1,0.2256913021618904,22.57,True,2,True,False,qwen_original
Search whois,deepseek-v4-flash-0731,cost_tight,f1,0.17782805429864254,17.78,True,4,True,False,deepseek_original
Search whois,gpt-5.6-sol,cost_tight,f1,0.17013574660633485,17.01,True,5,True,False,gpt_original
Search whois,gemini-3.8-flash-medium,cost_tight,f1,0.20432378079436903,20.43,True,3,True,False,gemini_snapshot
Search whatis,kimi-k3,cost_free,f1,0.6095842882607588,60.96,True,4,True,False,kimi_original
Search whatis,glm-5.3,cost_free,f1,0.6149144972674384,61.49,True,3,True,False,glm_original
Search whatis,qwen3.8-2.4t-a95b-fp8,cost_free,f1,0.513103318250377,51.31,True,5,True,False,qwen_original
Search whatis,deepseek-v4-flash-0731,cost_free,f1,0.36907308377896614,36.91,True,6,True,False,deepseek_original
Search whatis,gpt-5.6-sol,cost_free,f1,0.6542057999670456,65.42,True,2,True,False,gpt_original
Search whatis,gemini-3.8-flash-medium,cost_free,f1,0.6992695117262592,69.93,True,1,True,True,gemini_snapshot
Search whatis,kimi-k3,cost_moderate,f1,0.4080341227400051,40.80,True,4,True,False,kimi_original
Search whatis,glm-5.3,cost_moderate,f1,0.41909626321391025,41.91,True,3,True,False,glm_original
Search whatis,qwen3.8-2.4t-a95b-fp8,cost_moderate,f1,0.39345091183326475,39.35,True,5,True,False,qwen_original
Search whatis,deepseek-v4-flash-0731,cost_moderate,f1,0.3335164835164835,33.35,True,6,True,False,deepseek_original
Search whatis,gpt-5.6-sol,cost_moderate,f1,0.45387700534759357,45.39,True,2,True,False,gpt_original
Search whatis,gemini-3.8-flash-medium,cost_moderate,f1,0.4613197260256084,46.13,True,1,True,True,gemini_snapshot
Search whatis,kimi-k3,cost_tight,f1,0.14313725490196078,14.31,True,4,True,False,kimi_original
Search whatis,glm-5.3,cost_tight,f1,0.1484848484848485,14.85,True,2,True,False,glm_original
Search whatis,qwen3.8-2.4t-a95b-fp8,cost_tight,f1,0.13770053475935828,13.77,True,6,True,False,qwen_original
Search whatis,deepseek-v4-flash-0731,cost_tight,f1,0.15926916221033868,15.93,True,1,True,True,deepseek_original
Search whatis,gpt-5.6-sol,cost_tight,f1,0.13868092691622103,13.87,True,5,True,False,gpt_original
Search whatis,gemini-3.8-flash-medium,cost_tight,f1,0.1484848484848485,14.85,True,2,True,False,gemini_snapshot
Audit EA,kimi-k3,cost_free,evidence_acc,0.9200603318250377,92.01,True,2,True,False,kimi_original
Audit EA,glm-5.3,cost_free,evidence_acc,0.8642533936651584,86.43,True,4,True,False,glm_original
Audit EA,qwen3.8-2.4t-a95b-fp8,cost_free,evidence_acc,0.918552036199095,91.86,True,3,True,False,qwen_original+terminal_protocol_control_20260918_qwen
Audit EA,deepseek-v4-flash-0731,cost_free,evidence_acc,0.6395173453996983,63.95,True,6,True,False,deepseek_original
Audit EA,gpt-5.6-sol,cost_free,evidence_acc,0.7043740573152337,70.44,True,5,True,False,gpt_original
Audit EA,gemini-3.8-flash-medium,cost_free,evidence_acc,0.975867269984917,97.59,True,1,True,True,gemini_snapshot
Audit EA,kimi-k3,cost_moderate,evidence_acc,0.7194570135746606,71.95,True,4,True,False,kimi_original
Audit EA,glm-5.3,cost_moderate,evidence_acc,0.751131221719457,75.11,True,2,True,False,glm_original
Audit EA,qwen3.8-2.4t-a95b-fp8,cost_moderate,evidence_acc,0.7496229260935143,74.96,True,3,True,False,qwen_original
Audit EA,deepseek-v4-flash-0731,cost_moderate,evidence_acc,0.5867269984917044,58.67,True,6,True,False,deepseek_original
Audit EA,gpt-5.6-sol,cost_moderate,evidence_acc,0.6591251885369532,65.91,True,5,True,False,gpt_original
Audit EA,gemini-3.8-flash-medium,cost_moderate,evidence_acc,0.8280542986425339,82.81,True,1,True,True,gemini_snapshot
Audit EA,kimi-k3,cost_tight,evidence_acc,0.526395173453997,52.64,True,4,True,False,kimi_original
Audit EA,glm-5.3,cost_tight,evidence_acc,0.5158371040723982,51.58,True,5,True,False,glm_original
Audit EA,qwen3.8-2.4t-a95b-fp8,cost_tight,evidence_acc,0.583710407239819,58.37,True,2,True,False,qwen_original+terminal_protocol_control_20260918_qwen
Audit EA,deepseek-v4-flash-0731,cost_tight,evidence_acc,0.4751131221719457,47.51,True,6,True,False,deepseek_original
Audit EA,gpt-5.6-sol,cost_tight,evidence_acc,0.5414781297134238,54.15,True,3,True,False,gpt_original
Audit EA,gemini-3.8-flash-medium,cost_tight,evidence_acc,0.7209653092006033,72.10,True,1,True,True,gemini_snapshot
Audit LA,kimi-k3,cost_free,label_acc,0.9502262443438914,95.02,True,2,True,False,kimi_original
Audit LA,glm-5.3,cost_free,label_acc,0.8687782805429864,86.88,True,4,True,False,glm_original
Audit LA,qwen3.8-2.4t-a95b-fp8,cost_free,label_acc,0.947209653092006,94.72,True,3,True,False,qwen_original+terminal_protocol_control_20260918_qwen
Audit LA,deepseek-v4-flash-0731,cost_free,label_acc,0.6681749622926093,66.82,True,6,True,False,deepseek_original
Audit LA,gpt-5.6-sol,cost_free,label_acc,0.8597285067873303,85.97,True,5,True,False,gpt_original
Audit LA,gemini-3.8-flash-medium,cost_free,label_acc,0.9728506787330317,97.29,True,1,True,True,gemini_snapshot
