cohort_id,execution_complete,family,item,metrics_json,model,order,outer_repeat,provider_cohort,regime,scenario,score_complete,seed,slot_id,strategy,system
deepseek_original,True,whois,phantom_seed2:0,"{""f1"": 1.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,387839347a5185abcb7bb493,single,expgym
deepseek_original,True,whois,phantom_seed2:1,"{""f1"": 1.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,35ef6c1a3975d90c341accff,single,expgym
deepseek_original,True,whois,phantom_seed2:10,"{""f1"": 0.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,058002a9d18b060107e417a5,single,expgym
deepseek_original,True,whois,phantom_seed2:11,"{""f1"": 0.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,241c725c00e4fdc702df510e,single,expgym
deepseek_original,True,whois,phantom_seed2:12,"{""f1"": 1.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,0afc2d0c276d52fd4d371dd8,single,expgym
deepseek_original,True,whois,phantom_seed2:13,"{""f1"": 0.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,b7d6e57a790e9866b57a3374,single,expgym
deepseek_original,True,whois,phantom_seed2:14,"{""f1"": 1.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,e0da5e6a3258f82d5dacf072,single,expgym
deepseek_original,True,whois,phantom_seed2:15,"{""f1"": 0.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,0e2f79c599b78ff09ee84a80,single,expgym
deepseek_original,True,whois,phantom_seed2:16,"{""f1"": 1.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,ea366667420f24a2174b3ae9,single,expgym
deepseek_original,True,whois,phantom_seed2:17,"{""f1"": 0.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,d6f1ac630feb5055d72efcb4,single,expgym
deepseek_original,True,whois,phantom_seed2:18,"{""f1"": 0.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,cb0bfb9515126d022a94f48c,single,expgym
deepseek_original,True,whois,phantom_seed2:19,"{""f1"": 0.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,9cd55b7f580999fdf2445f80,single,expgym
deepseek_original,True,whois,phantom_seed2:2,"{""f1"": 1.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,9b9fd3cdc34bba8d6ea5446c,single,expgym
deepseek_original,True,whois,phantom_seed2:3,"{""f1"": 0.6666666666666666}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,2679957e443ebcbe32064c46,single,expgym
deepseek_original,True,whois,phantom_seed2:4,"{""f1"": 0.6666666666666666}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,f7095dd4ff027e8c89592585,single,expgym
deepseek_original,True,whois,phantom_seed2:5,"{""f1"": 1.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,6be3bbd933073a0ece79a4bb,single,expgym
deepseek_original,True,whois,phantom_seed2:6,"{""f1"": 1.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,cfd4d88a3b47c87af53e7bcb,single,expgym
deepseek_original,True,whois,phantom_seed2:7,"{""f1"": 0.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,815d2e0d70c8af2d34e58b43,single,expgym
deepseek_original,True,whois,phantom_seed2:8,"{""f1"": 0.6666666666666666}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,dc8236390acdd24011eb7b6d,single,expgym
deepseek_original,True,whois,phantom_seed2:9,"{""f1"": 1.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,edb6cc06210f429ccde429e3,single,expgym
deepseek_original,True,whois,phantom_seed3:0,"{""f1"": 1.0}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,a4cd48716797503dd0eb88b3,single,expgym
deepseek_original,True,whois,phantom_seed3:1,"{""f1"": 0.6666666666666666}",deepseek-v4-flash-0731,,0,historical_other,cost_moderate,restricted_search,True,2200,cb44983e47cc6e3a285c3ac7,single,expgym
