slot_id,model,budget,strategy,metric,old,new,delta,source_sha256,old_source_sha256,new_source_sha256,source_replaced,reason
00f8e194c1badaa56bf899c5,deepseek-v4-flash-0731,cost_tight,cached,evidence_acc,0.35294117647058826,0.4117647058823529,0.05882352941176466,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,0,member_terminal_extraction_and_common_audit_wrapper_acceptance
00f8e194c1badaa56bf899c5,deepseek-v4-flash-0731,cost_tight,cached,final_answer_parsed,3,4,1,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,19425ae4055276964c97692a63adbd03d41842a92342ea04a074a9285c2917d3,0,member_terminal_extraction_and_common_audit_wrapper_acceptance
0378b8ca3bf694b4e76f59bb,kimi-k3,cost_tight,naive,final_answer_parsed,3,4,1,5ecdd25f2785dfc4ebf1619c5f50c67f946402aa104d7c89b87f1fbaf2488ebc,5ecdd25f2785dfc4ebf1619c5f50c67f946402aa104d7c89b87f1fbaf2488ebc,5ecdd25f2785dfc4ebf1619c5f50c67f946402aa104d7c89b87f1fbaf2488ebc,0,member_terminal_extraction_and_common_audit_wrapper_acceptance
0a6e880236b69718a2b28aa5,kimi-k3,cost_moderate,naive,final_answer_parsed,3,4,1,b9eea80a630470a76b985b928a6295127298fc925ba3d93c930323bd1620eaeb,b9eea80a630470a76b985b928a6295127298fc925ba3d93c930323bd1620eaeb,b9eea80a630470a76b985b928a6295127298fc925ba3d93c930323bd1620eaeb,0,member_terminal_extraction_and_common_audit_wrapper_acceptance
0d3453888c175559af6d98cf,glm-5.3,cost_moderate,poolact,agents_with_peer_only_nonempty_final_match,3,4,1,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,0,member_terminal_extraction_and_common_audit_wrapper_acceptance
0d3453888c175559af6d98cf,glm-5.3,cost_moderate,poolact,final_answer_parsed,3,4,1,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,0,member_terminal_extraction_and_common_audit_wrapper_acceptance
0d3453888c175559af6d98cf,glm-5.3,cost_moderate,poolact,final_matches_peer_only_verified,18,23,5,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,0,member_terminal_extraction_and_common_audit_wrapper_acceptance
0d3453888c175559af6d98cf,glm-5.3,cost_moderate,poolact,final_matches_peer_only_verified_nonempty,13,16,3,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,dbc63f5e150689c207ba981e8b2c37e6fac0a274dcd6e25faa6326d37207a0fe,0,member_terminal_extraction_and_common_audit_wrapper_acceptance
115e6db6bceee47ffde91a69,kimi-k3,cost_moderate,poolact,agents_with_peer_only_nonempty_final_match,2,3,1,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,0,member_terminal_extraction_and_common_audit_wrapper_acceptance
115e6db6bceee47ffde91a69,kimi-k3,cost_moderate,poolact,evidence_acc,0.5882352941176471,0.7058823529411765,0.11764705882352944,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,a7312f90a7313d464bdc9dcc7a1047ec16bc5b95d09b137ccccb1080dfae11ec,0,member_terminal_extraction_and_common_audit_wrapper_acceptance
