study_id,job_id,stage,model,system,scenario,family,item,data_source,question_index,budget,strategy,N,repeat,stage_repeat_index,seed,hypothesis_order,api_protocol,reasoning_effort_requested,source_tree_sha256,queue_status,execution_complete,metric,endpoint,unit,primary,value,known_agent_subset_value,expected_agents,known_agents,missing_agents,score_complete
gpt56sol_medium_refmatrix_20260910_v1,job_05cf2401aea839c055ca10cc631be240ecd9a5917d2939892629932eeff979ec,reference-0000-expgym-restricted_search-a63be219fc,gpt-5.6-sol,expgym,restricted_search,whois,phantom_seed3:17,phantom_seed3,17,cost_moderate,single,1,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,F1,single,fraction,True,0.0,0.0,1,1,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_ea43d81a1cfb73b78d1f1f02259e3b2e2fd21f7ef303e10488c09e78eefe3bed,reference-0001-poolact-restricted_search-5aabaf9762,gpt-5.6-sol,poolact,restricted_search,whois,phantom_seed3:4,phantom_seed3,4,cost_tight,cached,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,F1,MI,fraction,False,1.0,1.0,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_ea43d81a1cfb73b78d1f1f02259e3b2e2fd21f7ef303e10488c09e78eefe3bed,reference-0001-poolact-restricted_search-5aabaf9762,gpt-5.6-sol,poolact,restricted_search,whois,phantom_seed3:4,phantom_seed3,4,cost_tight,cached,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,F1,MV,fraction,True,1.0,,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_ffd5f145f7dc2222661b8f8d8221106291a7ad2144ab56f7930bab621deb8606,reference-0002-poolact-restricted_search-edb31cdef8,gpt-5.6-sol,poolact,restricted_search,whois,phantom_seed3:6,phantom_seed3,6,cost_tight,naive,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,F1,MI,fraction,False,0.0,0.0,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_ffd5f145f7dc2222661b8f8d8221106291a7ad2144ab56f7930bab621deb8606,reference-0002-poolact-restricted_search-edb31cdef8,gpt-5.6-sol,poolact,restricted_search,whois,phantom_seed3:6,phantom_seed3,6,cost_tight,naive,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,F1,MV,fraction,True,0.0,,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_fa72e32c16f92fe10bbdf449fd02bb34ad10003bd2a43417bfab6a4551699dd6,reference-0003-expgym-tuning-15e1fba166,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:imagenet16-120,hpobench,,cost_tight,single,1,seed_2200,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,Gap,single,Gap points,True,85.56257846823077,85.56257846823077,1,1,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_fa72e32c16f92fe10bbdf449fd02bb34ad10003bd2a43417bfab6a4551699dd6,reference-0003-expgym-tuning-15e1fba166,gpt-5.6-sol,expgym,tuning,nasbench201,hpobench:nasbench201:imagenet16-120,hpobench,,cost_tight,single,1,seed_2200,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,raw_performance,single,fraction,False,0.4493888889567057,0.4493888889567057,1,1,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_8ef83bc7a9ca3ede82c0c91a0647eebebc9f1fee394650b93f2eae1d655f33ae,reference-0004-poolact-restricted_search-b23c9d03a9,gpt-5.6-sol,poolact,restricted_search,whois,phantom_seed2:1,phantom_seed2,1,cost_tight,naive,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,F1,MI,fraction,False,0.0,0.0,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_8ef83bc7a9ca3ede82c0c91a0647eebebc9f1fee394650b93f2eae1d655f33ae,reference-0004-poolact-restricted_search-b23c9d03a9,gpt-5.6-sol,poolact,restricted_search,whois,phantom_seed2:1,phantom_seed2,1,cost_tight,naive,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,F1,MV,fraction,True,0.0,,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_4b874b1d81cb97d8ebbc43b5e9bcfb0b621d66b8b60defbad90d88297d372b6e,reference-0005-poolact-restricted_search-ee4f9ce5f5,gpt-5.6-sol,poolact,restricted_search,whois,phantom_seed2:10,phantom_seed2,10,cost_tight,naive,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,F1,MI,fraction,False,0.0,0.0,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_4b874b1d81cb97d8ebbc43b5e9bcfb0b621d66b8b60defbad90d88297d372b6e,reference-0005-poolact-restricted_search-ee4f9ce5f5,gpt-5.6-sol,poolact,restricted_search,whois,phantom_seed2:10,phantom_seed2,10,cost_tight,naive,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,F1,MV,fraction,True,0.0,,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_361fc118d6f4864485c983404b076160566160790880f6b44effbfe0d4816336,reference-0006-expgym-restricted_search-883373a83f,gpt-5.6-sol,expgym,restricted_search,whatis,phantom_seed2:33,phantom_seed2,33,cost_tight,single,1,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,F1,single,fraction,True,0.0,0.0,1,1,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_62f304d5ad19238c0328388592f064e92e7739254ffa4f365633400ac95290b5,reference-0007-poolact-evidence_audit-8447e502e4,gpt-5.6-sol,poolact,evidence_audit,contract_nli,cc-large:8,cc-large,8,cost_moderate,cached,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,EA,MI,fraction,False,0.3823529411764706,0.3823529411764706,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_62f304d5ad19238c0328388592f064e92e7739254ffa4f365633400ac95290b5,reference-0007-poolact-evidence_audit-8447e502e4,gpt-5.6-sol,poolact,evidence_audit,contract_nli,cc-large:8,cc-large,8,cost_moderate,cached,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,EA,MV,fraction,True,0.35294117647058826,,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_62f304d5ad19238c0328388592f064e92e7739254ffa4f365633400ac95290b5,reference-0007-poolact-evidence_audit-8447e502e4,gpt-5.6-sol,poolact,evidence_audit,contract_nli,cc-large:8,cc-large,8,cost_moderate,cached,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,LA,MI,fraction,False,0.9705882352941176,0.9705882352941176,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_62f304d5ad19238c0328388592f064e92e7739254ffa4f365633400ac95290b5,reference-0007-poolact-evidence_audit-8447e502e4,gpt-5.6-sol,poolact,evidence_audit,contract_nli,cc-large:8,cc-large,8,cost_moderate,cached,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,LA,MV,fraction,False,1.0,,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_828651f06951fbceefb03e35cffe7fd5c5a7db82f0b1d88d202934b5a7e6936a,reference-0008-poolact-evidence_audit-8ef306c697,gpt-5.6-sol,poolact,evidence_audit,contract_nli,cc-large:8,cc-large,8,cost_moderate,poolact,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,EA,MI,fraction,False,0.4558823529411765,0.4558823529411765,4,4,0,True
gpt56sol_medium_refmatrix_20260910_v1,job_828651f06951fbceefb03e35cffe7fd5c5a7db82f0b1d88d202934b5a7e6936a,reference-0008-poolact-evidence_audit-8ef306c697,gpt-5.6-sol,poolact,evidence_audit,contract_nli,cc-large:8,cc-large,8,cost_moderate,poolact,4,R1,0,2200,,responses,medium,c6c60cbc358820ce26b04bfade1bfe9be6597c9c3c1e7546bbd14a67fba2fa3c,completed,True,EA,MV,fraction,True,0.35294117647058826,,4,4,0,True
