slot_id,model,system,scenario,regime,strategy,item,outer_repeat,order,seed,family,execution_complete,score_complete,metrics_json,provider_cohort,cohort_id
042f8a0c883918035d147e0e,gemini-3.8-flash-medium,poolact,tuning,cost_tight,poolact,hpobench:nasbench101:A,0,,2200,nasbench101,True,True,"{""gap0_bon"":99.44469442278952,""gap0_mi"":99.11720809344378,""gap_bon"":99.44469442278952,""gap_mi"":99.11720809344378,""raw_perf_bon"":0.9421741366386414,""raw_perf_mi"":0.9398704618215561}",openrouter_google_ai_studio,hpo_protocol_repair_20260918_gemini_v2
0528aa82238ccb6ab56e8172,gemini-3.8-flash-medium,poolact,tuning,cost_moderate,poolact,hpobench:nasbench101:B,0,,2200,nasbench101,True,True,"{""gap0_bon"":98.46717388381616,""gap0_mi"":97.93658772467286,""gap_bon"":98.46717388381616,""gap_mi"":97.93658772467286,""raw_perf_bon"":0.9450453917185465,""raw_perf_mi"":0.9436932404836018}",openrouter_google_ai_studio,hpo_protocol_repair_20260918_gemini_v2
07ee7c56cee1e84ee2c6fda1,gemini-3.8-flash-medium,poolact,tuning,cost_tight,poolact,hpobench:nasbench101:A,2,,2208,nasbench101,True,True,"{""gap0_bon"":98.87989593560077,""gap0_mi"":73.9771947323401,""gap_bon"":98.87989593560077,""gap_mi"":73.9771947323401,""raw_perf_bon"":0.938201109568278,""raw_perf_mi"":0.7023654530445734}",openrouter_google_ai_studio,hpo_protocol_repair_20260918_gemini_v2
0aa854be1610459f67f8176b,gpt-5.6-sol,poolact,tuning,cost_tight,poolact,hpobench:nasbench101:A,1,,2204,nasbench101,True,True,"{""gap0_bon"":98.96058425820081,""gap0_mi"":98.6983563891489,""gap_bon"":98.96058425820081,""gap_mi"":98.6983563891489,""raw_perf_bon"":0.9387687047322592,""raw_perf_mi"":0.936924085021019}",preserved_historical_provider,hpo_protocol_repair_20260918_gpt_v2
0b9da8c9f6429679cc6eb654,gpt-5.6-sol,poolact,tuning,cost_tight,poolact,hpobench:nasbench101:B,2,,2208,nasbench101,True,True,"{""gap0_bon"":97.17017856473953,""gap0_mi"":95.0969448788978,""gap_bon"":97.17017856473953,""gap_mi"":95.0969448788978,""raw_perf_bon"":0.9417401154836019,""raw_perf_mi"":0.9364566653966904}",preserved_historical_provider,hpo_protocol_repair_20260918_gpt_v2
1004ff7a313febf84de7f7c5,gemini-3.8-flash-medium,poolact,tuning,cost_tight,poolact,hpobench:nasbench101:C,2,,2208,nasbench101,True,True,"{""gap0_bon"":99.81097073177946,""gap0_mi"":99.54957861442799,""gap_bon"":99.81097073177946,""gap_mi"":99.54957861442799,""raw_perf_bon"":0.9445112148920695,""raw_perf_mi"":0.9430338541666666}",openrouter_google_ai_studio,hpo_protocol_repair_20260918_gemini_v2
152bd78d7ad15159994ab8e7,gemini-3.8-flash-medium,poolact,tuning,cost_tight,naive,hpobench:nasbench101:C,1,,2204,nasbench101,True,True,"{""gap0_bon"":99.598315002106,""gap0_mi"":98.68860835318287,""gap_bon"":99.598315002106,""gap_mi"":98.68860835318287,""raw_perf_bon"":0.9433093070983887,""raw_perf_mi"":0.9381677409013112}",openrouter_google_ai_studio,hpo_protocol_repair_20260918_gemini_v2
16eb77afda8e7ca3474ca976,kimi-k3,poolact,tuning,cost_moderate,poolact,hpobench:nasbench101:B,1,,2204,nasbench101,True,True,"{""gap0_bon"":97.68111800469507,""gap0_mi"":96.9376358643853,""gap_bon"":97.68111800469507,""gap_mi"":96.9376358643853,""raw_perf_bon"":0.9430421988169352,""raw_perf_mi"":0.9411475012699763}",preserved_historical_provider,hpo_protocol_repair_20260918_kimi_v2
1a408555e37e39b4580d2acf,qwen3.8-2.4t-a95b-fp8,poolact,tuning,cost_tight,poolact,hpobench:nasbench101:C,1,,2204,nasbench101,True,True,"{""gap0_bon"":99.02531794559168,""gap0_mi"":98.85253208932755,""gap_bon"":99.02531794559168,""gap_mi"":98.85253208932755,""raw_perf_bon"":0.9400707880655924,""raw_perf_mi"":0.9390942205985386}",preserved_historical_provider,hpo_protocol_repair_20260918_qwen_v2
21c2f1decbe9463d3050994d,gemini-3.8-flash-medium,poolact,tuning,cost_moderate,poolact,hpobench:nasbench101:C,2,,2208,nasbench101,True,True,"{""gap0_bon"":99.52742858710837,""gap0_mi"":99.32806076463504,""gap_bon"":99.52742858710837,""gap_mi"":99.32806076463504,""raw_perf_bon"":0.9429086645444235,""raw_perf_mi"":0.9417818586031595}",openrouter_google_ai_studio,hpo_protocol_repair_20260918_gemini_v2
