old_slot_id,job_id,model,runner,scenario,selection_json,regime,beta,agents,seed,status,whole_slot_attempt,source_code_commit,core_code_commit,source_tree_sha256,plan_sha256,historical_trajectory_sha256,result_sha256,completion_receipt_sha256,slot_wall_seconds_including_validation,http_attempts,successful_http_attempts,error_http_attempts,logical_generations,reported_cost_usd,cost_report_count,requested_backend,requested_model,reasoning_effort,temperature,top_p,top_k,max_tokens_config,max_context_tokens,max_steps,max_evals,tool_protocol
e4a3de7414124ba25ae424c0,job_d9f4a75faeec46b489de0c9cd02e94c542aefe8d4a4d5a9fe531ece55c5156c3,deepseek-v4-flash-0731,poolact,evidence_audit,"{""question_index"":0,""repeat_index"":0,""strategy"":""poolact""}",cost_moderate,,4,2200,validated_complete,1,885a5bd70dffe02b8dd610f1699e9f675da2b926,0e6c51b6d86f42437038518c2fc8adc510901c0b,4f28d240bfbb6e38d68a1db3466b8c78b8cdbb0b13962b99509a66f713cc0765,b407e1c1e2e324d224f976aab0c9e2b8c7663a4fa1b7cf54d12fdb56a13af63c,1fc00fb45047fb23670783452e47644b9e51d65ccb1901d04dbf32b02ebd5afa,b86b249d6b7b433181d2979ca998f73c64803ce30e4557ff0c6d7a11b12e18b6,57a00c5561c7ed9599ae2e8fff5a78087d72f630dad74a153b5569bec5dc719b,752.294024001807,45,45,0,45,,0,openai,deepseek-v4-flash-0731,max,1.0,0.95,,32768,131072,30,30,native
aa8511993d6ec60b40bac3d5,job_7f7c5a18794dd705ab3f3f44f4d76c9e13a193602dddbe96183ed96d5414e703,deepseek-v4-flash-0731,poolact,evidence_audit,"{""question_index"":10,""repeat_index"":0,""strategy"":""poolact""}",cost_moderate,,4,2200,validated_complete,1,885a5bd70dffe02b8dd610f1699e9f675da2b926,0e6c51b6d86f42437038518c2fc8adc510901c0b,4f28d240bfbb6e38d68a1db3466b8c78b8cdbb0b13962b99509a66f713cc0765,b407e1c1e2e324d224f976aab0c9e2b8c7663a4fa1b7cf54d12fdb56a13af63c,ab84266c42291e56e95a058e097a1d03eef03e7194394fafc517dcc541f7f4de,786815fa469b0b36360bee8d1d49a324346e40d06aef5537e80fa2c6ab0d5bf1,5a880450aa397343b42703a890449e1ba54c77fab26a4427814c2e11a44f0af5,953.6544785797596,44,44,0,44,,0,openai,deepseek-v4-flash-0731,max,1.0,0.95,,32768,131072,30,30,native
b61bf7439794536f53c71d69,job_9ca617400b7370c7b63138ace3640324cb0b40da8a06f0468ce9b42c17bdedcb,deepseek-v4-flash-0731,poolact,evidence_audit,"{""question_index"":11,""repeat_index"":0,""strategy"":""poolact""}",cost_moderate,,4,2200,validated_complete,1,885a5bd70dffe02b8dd610f1699e9f675da2b926,0e6c51b6d86f42437038518c2fc8adc510901c0b,4f28d240bfbb6e38d68a1db3466b8c78b8cdbb0b13962b99509a66f713cc0765,b407e1c1e2e324d224f976aab0c9e2b8c7663a4fa1b7cf54d12fdb56a13af63c,70785951469b5fb66037b28a80c7e1f25adfe5210539306ed92db5042f7dfda9,1b50208310cd5b3603b9fa95b2c867024f34a74edc702eea7f85a06f7b3bc029,de5a873e6a4a776b69d4ad0e53bc70a6ec3f9fc2a77e16b7e4017ce8e820dc13,795.9072718806565,45,45,0,45,,0,openai,deepseek-v4-flash-0731,max,1.0,0.95,,32768,131072,30,30,native
c52650f11387ce2601b652b9,job_a94996c4b5c2e452c239f3ad794343ce1fb5ef9d0a37ab175f651fd426e327f1,deepseek-v4-flash-0731,poolact,evidence_audit,"{""question_index"":12,""repeat_index"":0,""strategy"":""poolact""}",cost_moderate,,4,2200,validated_complete,1,885a5bd70dffe02b8dd610f1699e9f675da2b926,0e6c51b6d86f42437038518c2fc8adc510901c0b,4f28d240bfbb6e38d68a1db3466b8c78b8cdbb0b13962b99509a66f713cc0765,b407e1c1e2e324d224f976aab0c9e2b8c7663a4fa1b7cf54d12fdb56a13af63c,c9570e36cbd2d832c80326bd7150937ac3147fdd3ed705190ff3ca22b8f14c95,6f2a078629a069f321bee1391b338351be8fbce6350dd91d12419936cfd64998,dd48f23a350036f836a4225315a48e49c870955d68eb6d60c7d04ee20ab3d581,625.6847625486553,42,42,0,42,,0,openai,deepseek-v4-flash-0731,max,1.0,0.95,,32768,131072,30,30,native
34147bb84bd134f2b3322cec,job_7d4704d336d9224609cdcbd9be6abe44fda456cb63fc799f9cf22e155e4db847,deepseek-v4-flash-0731,poolact,evidence_audit,"{""question_index"":2,""repeat_index"":0,""strategy"":""poolact""}",cost_moderate,,4,2200,validated_complete,1,885a5bd70dffe02b8dd610f1699e9f675da2b926,0e6c51b6d86f42437038518c2fc8adc510901c0b,4f28d240bfbb6e38d68a1db3466b8c78b8cdbb0b13962b99509a66f713cc0765,b407e1c1e2e324d224f976aab0c9e2b8c7663a4fa1b7cf54d12fdb56a13af63c,e438c53db6878aa285413ab18a1ffcd44d35af7a7275a49d9dc6a2fe35f9004d,516a0eb47af74350151a345ef89c3e96e5a501727d75edc7dc3716d54b432cb8,1fff1ad9457ae4b3ffc645f5a6167364892dba8d0f3635185bb5fbc3fc126b73,556.3991955816746,43,43,0,43,,0,openai,deepseek-v4-flash-0731,max,1.0,0.95,,32768,131072,30,30,native
e2b70fd229e0ad9833f041fc,job_3ef2b16f50552dd02dc3d0a88b9b97b4992b0a1eb5208e86223b1639c02cb689,deepseek-v4-flash-0731,poolact,evidence_audit,"{""question_index"":3,""repeat_index"":0,""strategy"":""poolact""}",cost_moderate,,4,2200,validated_complete,1,885a5bd70dffe02b8dd610f1699e9f675da2b926,0e6c51b6d86f42437038518c2fc8adc510901c0b,4f28d240bfbb6e38d68a1db3466b8c78b8cdbb0b13962b99509a66f713cc0765,b407e1c1e2e324d224f976aab0c9e2b8c7663a4fa1b7cf54d12fdb56a13af63c,f00f3564772e7f2a918460554761f10decf11ddcbeccef542f7aa3e42727764f,dcd0bb4110dc8c54b8dce0a7ec6a4721c3d79a68206de1b26184f7f0ce54c327,7f3e798261895c7bc4426557810246a197b8349f62ada7c720143cdb11b3b321,421.8343382552266,39,39,0,39,,0,openai,deepseek-v4-flash-0731,max,1.0,0.95,,32768,131072,30,30,native
fd9c7b49ec22cbc344c16ad4,job_b618d8fee7dc9853ab7b37480994194325033efd0cb80c7998ba964bfbb8c17e,deepseek-v4-flash-0731,poolact,evidence_audit,"{""question_index"":5,""repeat_index"":0,""strategy"":""poolact""}",cost_moderate,,4,2200,validated_complete,1,885a5bd70dffe02b8dd610f1699e9f675da2b926,0e6c51b6d86f42437038518c2fc8adc510901c0b,4f28d240bfbb6e38d68a1db3466b8c78b8cdbb0b13962b99509a66f713cc0765,b407e1c1e2e324d224f976aab0c9e2b8c7663a4fa1b7cf54d12fdb56a13af63c,0b362e1cbb80a4dcbe897edc284df3ec94c65fbee1ca52f1c843e21ba6f6cd14,ddbca89c64378bea92e9c9408977bb3f242ea52673a15e0f269b3452c8c5b5fc,a25760f01f44f81aa5b9234ea00b7bad12ce64e6f1d8f51fcbde74e5088f317e,401.53172897174954,35,35,0,35,,0,openai,deepseek-v4-flash-0731,max,1.0,0.95,,32768,131072,30,30,native
b17fc226bb045789df8c3d49,job_7f896c7d7b45cd27a6b8b90818fb37672bc6c3f43ddbb41729bd56d8587b4651,deepseek-v4-flash-0731,poolact,evidence_audit,"{""question_index"":8,""repeat_index"":0,""strategy"":""poolact""}",cost_moderate,,4,2200,validated_complete,1,885a5bd70dffe02b8dd610f1699e9f675da2b926,0e6c51b6d86f42437038518c2fc8adc510901c0b,4f28d240bfbb6e38d68a1db3466b8c78b8cdbb0b13962b99509a66f713cc0765,b407e1c1e2e324d224f976aab0c9e2b8c7663a4fa1b7cf54d12fdb56a13af63c,ab7fb9f98b060113892a7ad6924296f1d0c2a2f417840c001b6b22ed8f12110c,0a928acb89ec5c72ab2be5ee4bd7d5aa90497faf67b5ffa43f1a6fc297556292,05d04e6c42a3f452ec5254a315d017ff2d629356d9c36e4339c1d060ae537e3b,463.9647652208805,44,44,0,44,,0,openai,deepseek-v4-flash-0731,max,1.0,0.95,,32768,131072,30,30,native
2a395d2e30d11c9e0cd0c6d0,job_7cf90282d8ac74e979f34ffced4832f5f49dc8cc0ae56bfc31f68f25a0f05a7d,deepseek-v4-flash-0731,poolact,evidence_audit,"{""question_index"":9,""repeat_index"":0,""strategy"":""poolact""}",cost_moderate,,4,2200,validated_complete,1,885a5bd70dffe02b8dd610f1699e9f675da2b926,0e6c51b6d86f42437038518c2fc8adc510901c0b,4f28d240bfbb6e38d68a1db3466b8c78b8cdbb0b13962b99509a66f713cc0765,b407e1c1e2e324d224f976aab0c9e2b8c7663a4fa1b7cf54d12fdb56a13af63c,3998427e3c3472d7a8b5a597e5c6dc9931619ebd38154a24ead7d3af5e2221c3,0fd755ea27e024c2c9d4a044322329d2bbc8f47b6c6ec6a7b6d7f1e4d6075e67,ed65815064426543d4b6cba50ef4fa898a5ec7803a35125e47baa3411011ff88,834.4685235358775,44,44,0,44,,0,openai,deepseek-v4-flash-0731,max,1.0,0.95,,32768,131072,30,30,native
whois:glm:beta20:phantom_seed2:5:R1,job_f3282821a1ed8ebad24b1fe97f82c78646144076c84e53b1cf370827570d5788,glm-5.3,expgym,restricted_search,"{""beta"":20.0,""cc_split"":""cc-large"",""cost_regime"":""custom"",""data_source"":""phantom_seed2"",""hypothesis_order"":null,""model_alias"":""glm-5.3"",""model_id"":""glm-5.3"",""question_index"":5,""rep"":0,""scenario"":""restricted_search"",""seed"":2200,""tuning_task"":""neural_network_training""}",custom,20.0,1,2200,validated_complete,1,ffca5704580b75e254f6e52dd4fe9dff104b1be8,0e6c51b6d86f42437038518c2fc8adc510901c0b,cb2fe024256e8f2e7eaf882cd34af2fd7217ba1af21e6f7d9f23243f50a09f02,88221421d14f802b69fc9b43f936884d81d1346c0194cf09ee738b93533b55b6,2b535843e36241a17d93867b2812f4fcd4a3b61eb194e541dafc67eb2bc3ce9d,27b30c4eed21e116f4b1aa9f76261a70cc55bb9b5d0fd09f6b95f4c83734455e,6b7c6e9f0abc9210e110e734fb3b579ddfa51eaa173bbc7ca2a95ae9f488a80d,458.08253395557404,21,21,0,21,,0,openai,glm-5.3,max,1.0,0.95,,32768,,30,30,native
